Unnamed: 0,행정동명,총인구수,0~4세,5~9세,0~9세,세대당인구,실내놀이터+키즈카페,주변_키즈카페_포함,소득분위,가구수,혼잡빈도강도_평일,혼잡시간강도_평일,서울형키즈카페,주변_서울형키즈카페,총승하차,유아당놀이터비율,저소득자수,lat,lon
0,중곡1동,15239,264,256,520,1.76,1,3,6.0,8644.0,82,89,0,0,0.0,260.0,-5.0,37.562037303744575,127.07772224647626
1,중곡2동,20521,302,489,791,1.94,1,4,6.0,10569.0,87,93,0,0,0.0,395.5,-5.0,37.55890871114235,127.08458702720438
2,중곡3동,15727,272,288,560,1.85,2,2,5.0,8495.0,89,94,0,2,0.0,186.66666666666663,-4.0,37.56785113462245,127.08196967036656
3,중곡4동,27594,454,525,979,2.11,1,2,6.0,13022.0,71,84,0,1,0.0,489.5,-5.0,37.5639118192634,127.0944480591989
4,능동,11097,220,229,449,1.71,2,2,6.0,6456.0,53,74,0,0,0.0,149.66666666666666,-5.0,37.55065717904667,127.08164530282897
5,구의1동,23127,365,467,832,1.77,0,4,6.0,12519.0,90,95,0,0,0.0,832.0,-5.0,37.5414904000006,127.08603243647045
6,구의2동,25610,528,772,1300,2.23,2,3,6.0,11380.0,81,89,0,0,0.0,433.3333333333333,-5.0,37.55100223564359,127.09445032371976
7,구의3동,27840,640,867,1507,2.31,2,4,8.0,12048.0,53,68,0,0,0.0,502.3333333333333,-7.0,37.53509205867271,127.09523590593997
8,광장동,33971,660,1716,2376,2.87,1,0,9.0,11851.0,73,82,0,0,0.0,1188.0,-8.0,37.5482830860242,127.10487259671254
9,자양1동,21833,293,398,691,1.82,1,2,6.0,11960.0,70,81,0,0,0.0,345.5,-5.0,37.535543476585595,127.0804153706334
10,자양2동,23628,531,641,1172,2.17,0,1,7.0,10890.0,70,82,0,0,0.0,1172.0,-6.0,37.529334685447644,127.08325392608101
11,자양3동,27221,798,1053,1851,2.48,3,3,8.0,10951.0,70,80,1,3,0.0,462.75,-7.0,37.5316904016155,127.07119828743208
12,자양4동,19883,370,425,795,1.81,0,3,6.0,10929.0,85,91,2,3,0.0,795.0,-5.0,37.533891811027694,127.06376594761369
13,화양동,23193,164,162,326,1.28,0,2,6.0,18696.0,76,88,0,1,0.0,326.0,-5.0,37.54326499357664,127.07345993509608
14,군자동,19070,318,396,714,1.69,1,2,6.0,11293.0,82,90,0,0,0.0,357.0,-5.0,37.553065689375806,127.07368087528772
