역명,X좌표,Y좌표,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수
CU중곡긴고랑점앞,127.09301700005,37.5588376124,0,0,0,0,0,0,0,0,0,0,0,0,280,15,463,20,538,18,221,29,115,24,110,33,161,46,82,53,113,49,77,95,89,82,119,163,78,173,47,155,34,167,28,108,11,103,0,0
강변역.테크노마트앞,127.09482431365001,37.5363672902,0,0,0,0,0,0,0,0,0,0,0,0,228,2333,604,5581,1005,7702,741,4282,873,3088,957,2498,1171,2451,1326,2543,1546,2267,1657,1861,2173,2600,2911,2666,4145,2964,3570,1677,2615,1055,2444,732,2362,567,862,192
강변역A,127.0937749503,37.53605084985,0,0,0,0,0,0,0,0,0,0,0,0,362,1264,945,3690,1802,5368,1062,3589,1153,2053,1248,1633,1467,1864,1668,1841,1741,1675,1963,1584,2319,1997,3121,1828,4337,1729,3749,1354,2453,1113,2415,931,2258,687,1202,322
강원설비앞,127.09003567325,37.5589259778,0,0,0,0,0,0,0,0,0,0,0,0,277,29,360,60,200,66,123,39,95,52,57,42,83,43,58,72,54,54,26,71,58,73,39,85,49,149,17,130,23,100,9,80,6,46,0,0
건국대학교앞,127.07496185024999,37.5385956602,435,205,94,101,49,68,18,41,19,33,260,239,497,688,977,2151,1399,3387,1122,2335,1128,1983,1400,1852,1914,2156,2216,2406,2489,2431,2900,2222,3459,2571,3277,2539,3625,3060,3199,2058,2847,1436,2632,1101,2123,1003,1031,533
건대로데오거리입구,127.070158,37.539081,446,211,11,6,0,0,0,0,91,21,286,511,706,1813,1282,4905,2787,6572,2181,5020,1913,3818,1963,3481,2228,3759,2526,3808,2620,3568,3013,3474,3847,3919,4626,4041,6664,4646,5830,3442,4056,2439,3971,1937,3977,1679,2754,984
건대병원입구,127.0714727877,37.5421084758,388,53,41,12,0,0,0,0,0,0,5,3,114,190,197,363,311,562,283,482,199,379,224,455,307,443,374,499,476,556,548,431,546,433,636,634,797,686,793,505,736,252,699,175,770,157,700,61
건대입구(가상),127.0709898289,37.5401911408,206,405,66,220,21,87,25,80,4,197,35,729,14,537,16,954,26,1176,59,1066,32,897,44,868,32,969,45,1051,61,1238,204,1439,333,1475,193,1513,113,1530,148,1448,72,1261,107,1112,74,1105,118,654
건대입구역1번출구,127.0681672642,37.5408957525,1811,253,1047,313,722,226,565,226,392,93,764,333,1250,192,1792,301,3071,570,2591,450,1790,427,1483,452,1836,579,1645,524,1795,586,1858,558,1909,509,1855,607,1810,681,1760,502,1627,358,1716,269,1941,204,1706,147
건대입구역6번출구,127.0672788711,37.5408268775,1094,1191,672,1069,492,747,312,480,361,422,266,638,279,481,303,775,459,1234,460,885,519,869,589,937,740,1167,880,1476,1058,1673,1147,1968,1185,2354,1476,3054,1921,3871,1679,3388,1666,2364,1743,2628,1790,2687,1288,1498
건대입구역사거리.건대병원,127.08221675300001,37.54490142985,5841,1234,1466,671,1024,393,657,322,928,377,1773,2001,1395,1896,2335,3754,4143,6482,4473,5174,3707,4310,3996,4715,4704,5816,5452,6156,6189,5921,7491,5880,8388,6457,9765,7561,11465,8993,10954,6621,9317,4345,9358,3661,10163,3390,8055,2128
광나루역,127.10320454495,37.5454499145,833,987,246,293,142,102,82,78,283,133,1121,2136,2056,2262,3249,2675,4454,6249,3096,3010,2530,2524,2673,2525,2837,2727,2905,2673,3011,2523,4413,3208,5287,3658,4413,4110,4723,4684,3441,3270,2696,2643,2682,2377,2362,2233,1326,1417
광나루역.극동아파트,127.10314157490001,37.5438889901,0,0,0,0,0,0,0,0,0,0,0,0,346,30,832,252,1088,451,679,325,471,235,500,283,538,338,559,342,516,344,472,422,702,493,746,571,923,631,504,519,372,324,364,250,326,262,79,84
광나루현대아파트,127.10767014460001,37.5467076952,0,0,0,0,0,0,0,0,0,0,0,0,196,29,572,92,446,89,272,87,168,85,180,117,128,122,156,110,170,115,137,173,146,226,176,286,95,418,87,386,153,211,74,236,54,211,11,110
광남고.삼성아파트,127.1015837901,37.5421454345,0,0,0,0,0,0,0,0,0,0,0,0,432,48,794,285,1139,414,537,159,313,164,320,167,322,214,402,250,341,258,541,309,695,441,387,406,332,597,272,566,139,306,94,339,75,272,26,119
광장자이아파트,127.09491735675,37.5422100453,0,0,0,0,0,0,0,0,0,0,0,0,11,14,63,64,82,74,53,73,64,74,52,76,73,86,75,86,81,96,130,136,133,174,127,152,141,177,109,161,70,60,66,54,91,40,32,11
광장중학교앞,127.10244521575001,37.546869134199994,0,0,0,0,0,0,0,0,0,0,0,0,158,54,319,286,1116,931,202,266,212,256,264,248,235,266,287,265,282,274,400,288,391,408,330,357,430,431,238,438,165,186,123,261,64,271,23,132
광진경찰서,127.0841928022,37.5422770454,245,599,44,119,11,22,0,0,521,206,1197,723,2802,1556,5949,6640,8281,8576,5089,3227,3547,2601,3305,2401,3592,2561,3513,2677,3764,2727,5400,3061,8171,3461,4557,3916,4158,4547,2551,3668,1867,2639,1837,2533,1587,2486,670,1247
광진경찰서앞,127.0843546327,37.542346877,0,0,0,0,0,0,0,0,0,0,0,0,145,145,391,820,640,567,561,364,513,354,600,308,591,362,543,436,561,445,2161,564,2700,606,859,714,683,949,436,1012,391,655,418,709,336,686,126,450
광진광장,127.07153099675,37.547860161399996,599,981,56,102,0,0,0,0,49,113,637,457,1423,961,4113,1452,5115,2050,3833,2008,2133,1802,2223,1778,2563,1889,2602,1977,2677,2201,2678,2706,2797,2900,2778,3139,3280,4164,2501,3739,2120,2716,1867,2625,2019,3025,1349,2017
