시설명,경도,위도
CU중곡긴고랑점앞,127.09301700005,37.5588376124
강변역.테크노마트앞,127.09482431365,37.5363672902
강변역A,127.0937749503,37.53605084985
강원설비앞,127.09003567325,37.5589259778
건국대학교앞,127.07496185025,37.5385956602
건대로데오거리입구,127.070158,37.539081
건대병원입구,127.0714727877,37.5421084758
건대입구(가상),127.0709898289,37.5401911408
건대입구역1번출구,127.0681672642,37.5408957525
건대입구역6번출구,127.0672788711,37.5408268775
건대입구역사거리.건대병원,127.082216753,37.54490142985
광나루역,127.10320454495,37.5454499145
광나루역.극동아파트,127.1031415749,37.5438889901
광나루현대아파트,127.1076701446,37.5467076952
광남고.삼성아파트,127.1015837901,37.5421454345
광장자이아파트,127.09491735675,37.5422100453
광장중학교앞,127.10244521575,37.546869134199994
광진경찰서,127.0841928022,37.5422770454
광진경찰서앞,127.0843546327,37.542346877
광진광장,127.07153099675,37.5478601614
광진구청,127.08329827815,37.53886381535
광진문화예술회관,127.0701692006,37.5385652456
광진우체국,127.090409,37.537998
구.새마을금고앞,127.0871709238,37.5614417271
구의2동주민센터입구,127.08968527385,37.54894662665
구의3동주민센터,127.09208742333334,37.53870912113333
구의사거리,127.08604751985,37.54573422555
구의사거리.광진소방서앞,127.0841400142,37.54512411575
구의아크로리버앞,127.0921362577,37.5352926857
구의역,127.08916494985,37.53825732205
구의역1번출구,127.084788302,37.5369298571
구의역2번출구,127.0879772581,37.5377026867
구의역3번출구,127.0882893582,37.5375186301
구의역4번출구,127.084837057,37.5366543055
구의홈마트앞,127.08964380125,37.540304701050005
국민은행신자양지점,127.06703816095,37.53565062005
국민은행자양지점,127.07913436485,37.5321319679
군자교,127.0752158653,37.5619595163
군자교남단,127.0726146948,37.557474063300006
군자교입구,127.07527321285,37.558767356299995
군자삼거리,127.0753048863,37.55481108435
군자새마을금고.성동광진위센터,127.0713225073,37.5518512093
군자새마을금고앞,127.0710877554,37.5513566499
군자역,127.0791946232,37.55648384653333
군자역.용마초등학교,127.0820147865,37.55618436685
기업은행.용마사거리,127.0814330674,37.5624460371
기원정사입구,127.0930863656,37.55502818705
긴고랑입구,127.088668757,37.5588067163
긴고랑종점,127.0960429247,37.562194465
긴고랑주차장,127.0956309346,37.5609606399
노룬산시장앞,127.06292202355,37.5367063117
능동교회앞,127.0769927342,37.5528739948
능동우편취급국,127.0760329007,37.5561609072
대동아파트앞,127.068967,37.536419
대순진리회앞.구.새마을금고,127.0875676658,37.5609548433
대원고교앞,127.08683836835,37.56408262465
대원외고앞,127.0871413296,37.5632448358
동곡삼거리,127.07810816825,37.56373803475
동서울우편집중국앞,127.084337729,37.5350521104
동서울호텔앞,127.0920490446,37.5345920961
뚝도변전소앞,127.0689075815,37.5360909985
래미안구의파크스위트,127.0890314678,37.54483985295
래미안구의파크스위트사거리,127.0905321754,37.5440895274
메리놀외방선교회,127.07748341675,37.55901874625
면곡시장,127.080402728925,37.5707200787
면곡시장앞,127.0833666028,37.57093902475
새마을금고앞,126.986155345475,37.5933429798
새밭교회,127.09289949745,37.548970665599995
서울서광교회앞,127.088351026,37.5475847263
선화예고앞,127.0900588338,37.5494847466
성수대우프레시아1차아파트,127.0659848276,37.5452943403
성수사거리,127.0631635712,37.54283952906667
성안약국,127.0933444145,37.55317578155
성자초등학교앞,127.0824119936,37.53140983445
세종초교앞,127.0743618087,37.5538666538
세종초등학교.세종사이버대학교앞,127.0733966913,37.5535248785
송림식당앞,127.0766299665,37.5368221134
송정동건영아파트,127.0712242753,37.5549793867
송정동서울숲아이파크,127.0694224197,37.55176497005
신동아아파트,127.001659385225,37.521049651625
신성시장,127.0879297616,37.5583189468
신성시장앞,127.0876755037,37.5583163621
신성시장입구,127.0880363444,37.55859858635
신양초등학교앞,127.06871726513332,37.5346494557
신자초등학교앞,127.0749187684,37.53060415865
아차산역사거리,127.09137164905,37.5506967383
어린이대공원앞,127.0770314953,37.5520458638
어린이대공원앞.세종대학교,127.07544,37.549752
어린이대공원역3번출구,127.0751469149,37.5468045831
어린이대공원후문,127.0905075507,37.5508666828
어린이대공원후문아차산역,127.08968167825,37.55198168395
어린이회관,127.0793981565,37.5454421114
영동대교북단,127.06096405275,37.53682855525
영동대교입구.성수사거리,127.064525855,37.5428255093
영화사입구,127.0941339584,37.5541559958
올림픽대교북단사거리,127.09344877475,37.54339070825
용곡삼거리,127.0855950166,37.5682558761
용마사거리,127.0817752777,37.562300361333335
용마초등학교,127.081723671,37.5565422552
용암사입구,127.0862150741,37.56789199875
우리들약국,127.0029452603,37.5796732784
워커힐아파트,127.1075883052,37.5500035243
워커힐아파트입구,127.10655525325,37.5479831025
워커힐팰리스,127.1096719072,37.5500133218
자양1파출소앞,127.0769071428,37.5367651642
자양4동주민센터앞,127.067497,37.533632
자양고교앞,127.0712657595,37.5344474771
자양동잠실대교북단,127.08532855605,37.532537738550005
자양미소약국.자양골목시장,127.0770951431,37.5327251691
자양사거리,127.0822682615,37.536842041
자양우성아파트앞,127.07340899615,37.5338710981
자양종합복지관앞,127.075429514,37.5324649901
자양중학교앞,127.0761361038,37.5346629538
자양초등학교앞,127.07886624525,37.53768535815
장신대앞,127.1051798963,37.547584902850005
장안초등학교,127.07061915435,37.548636243
정보도서관,127.1104622298,37.5502486719
제일은행사거리,127.0747505569,37.5335505333
종로약국앞,127.0881058981,37.5575879581
종합의료복합단지,127.08333141335,37.56413065395
중곡119안전센터,127.0862442255,37.5667567645
중곡1동사거리,127.07937716225,37.56246751355
중곡1동주민센터입구,127.0783936092,37.560700361550005
중곡2동주민센터앞,127.08100521935,37.5598619963
중곡3동주민센터앞,127.0827185071,37.56851377485
중곡4동경로당입구앞,127.09412214515,37.5591615807
중곡4동어린이집입구,127.09168615755,37.558600764649995
중곡4동파출소,127.0867703018,37.5654194455
중곡동성당,127.0824010859,37.5627654195
중곡동성당앞,127.0829363287,37.5631682406
중곡동입구,127.08846557895,37.5544978382
중곡동입구삼거리,127.0858897545,37.554711277150005
중곡보건지소,127.08702966155,37.5597250336
중곡아파트,127.0775383322,37.56609839025
중곡아파트.기점,127.0781637961,37.5668768426
중곡아파트.종점,127.0779156425,37.5663789768
중곡역.국립정신건강센터,127.08443522475,37.56613795745
중곡역입구,127.08163159195,37.56650010915
중곡우체국앞,127.083971534,37.56137052805
