법정동코드,주소,새주소-도로명,일반인이용,경도,위도,법정동명
10200,서울특별시 광진구 능동 239-20,능동로32길,일반인 개방,127.082462,37.554053,능동
10200,서울특별시 광진구 능동 243-23,능동로32길,일반인 개방,127.083952,37.553057,능동
10200,서울특별시 광진구 능동 254-28 에스에치빌,천호대로120길,일반인 개방,127.08662,37.55329,능동
10200,서울특별시 광진구 능동 238-6,천호대로114길,일반인 개방,127.082645,37.554738,능동
10200,서울특별시 광진구 능동 370-1,천호대로112길,일반인 개방,127.08001,37.554025,능동
10200,서울특별시 광진구 능동 248-21,능동로34길,일반인 개방,127.085673,37.553559,능동
10200,서울특별시 광진구 능동 233-13,능동로32길,일반인 개방,127.081685,37.55401,능동
10200,서울특별시 광진구 능동 249-23,천호대로118길,일반인 개방,127.085122,37.553163,능동
10200,서울특별시 광진구 능동 221-4,천호대로110길,일반인 개방,127.079507,37.555917,능동
10200,서울특별시 광진구 능동 223-15,능동로34길,일반인 개방,127.080471,37.555586,능동
10200,서울특별시 광진구 능동 232-11,능동로24길,일반인 개방,127.080556,37.553496,능동
10200,서울특별시 광진구 능동 376,천호대로112길,일반인 개방,127.079678,37.553326,능동
10200,서울특별시 광진구 능동 242-18,천호대로116길,일반인 개방,127.083107,37.552883,능동
10200,서울특별시 광진구 능동 253-5,천호대로122길,일반인 개방,127.087416,37.552518,능동
10200,서울특별시 광진구 능동 233-26,능동로32길,일반인 개방,127.081637,37.553858,능동
10200,서울특별시 광진구 능동 233-25,능동로32길,일반인 개방,127.081621,37.553933,능동
10200,서울특별시 광진구 능동 242-24 JS포레,능동로32길,일반인 개방,127.083625,37.552831,능동
10200,서울특별시 광진구 능동 244-2,능동로34길,일반인 개방,127.083845,37.55392,능동
10200,서울특별시 광진구 능동 135-22,능동로32길,일반인 개방,127.081959,37.552602,능동
10200,서울특별시 광진구 능동 249-27,천호대로118길,일반인 개방,127.085537,37.553,능동
10200,서울특별시 광진구 능동 249-28,천호대로118길,일반인 개방,127.08564,37.552962,능동
10200,서울특별시 광진구 능동 252-10,천호대로120길,일반인 개방,127.086038,37.5521,능동
10200,서울특별시 광진구 능동 252-19,천호대로124길,일반인 개방,127.085999,37.551744,능동
10200,서울특별시 광진구 능동 252-35,천호대로120길,일반인 개방,127.085911,37.552134,능동
10200,서울특별시 광진구 능동 238-26,능동로36길,일반인 개방,127.083609,37.554475,능동
10200,서울특별시 광진구 능동 320-12,능동로32길,일반인 개방,127.07935,37.554442,능동
10200,서울특별시 광진구 능동 234-21,능동로32길,일반인 개방,127.08119,37.554544,능동
10200,서울특별시 광진구 능동 239-24,능동로32길,일반인 개방,127.083198,37.553736,능동
10200,서울특별시 광진구 능동 379-2,능동로30길,일반인 개방,127.079713,37.553078,능동
10200,서울특별시 광진구 능동 389-3,능동로24길,일반인 개방,127.079595,37.552827,능동
10200,서울특별시 광진구 능동 248-10,능동로34길,일반인 개방,127.08605,37.553353,능동
10200,서울특별시 광진구 능동 248-24,능동로36길,일반인 개방,127.085393,37.553663,능동
10200,서울특별시 광진구 능동 250-26,천호대로118길,일반인 개방,127.084503,37.552415,능동
10200,서울특별시 광진구 능동 390,능동로30길,일반인 개방,127.079132,37.553308,능동
10200,서울특별시 광진구 능동 252-36,능동로32길,일반인 개방,127.085964,37.552243,능동
10200,서울특별시 광진구 능동 320-61,능동로32길,일반인 개방,127.079345,37.554064,능동
10200,서울특별시 광진구 능동 232-8,능동로24길,일반인 개방,127.080546,37.553607,능동
10200,서울특별시 광진구 능동 232-2,능동로24길,일반인 개방,127.081123,37.554199,능동
10200,서울특별시 광진구 능동 253-8,능동로32길,일반인 개방,127.087043,37.552247,능동
10200,서울특별시 광진구 능동 225-5,천호대로110길,일반인 개방,127.078585,37.554242,능동
10200,서울특별시 광진구 능동 258-11,능동로32길,일반인 개방,127.087127,37.552013,능동
10200,서울특별시 광진구 능동 282-1,능동로,일반인 개방,127.078696,37.555162,능동
10200,서울특별시 광진구 능동 248-2,천호대로118길,일반인 개방,127.08522,37.553715,능동
10200,서울특별시 광진구 능동 223-26,능동로34길,일반인 개방,127.080383,37.555466,능동
10200,서울특별시 광진구 능동 248-35 우송 하우시스 비,능동로36길,일반인 개방,127.086229,37.553623,능동
10200,서울특별시 광진구 능동 153 진성빌딩,능동로24길,일반인 개방,127.08039,37.553175,능동
10200,서울특별시 광진구 능동 208,천호대로112길,일반인 개방,127.080352,37.554307,능동
10200,서울특별시 광진구 능동 389-1,능동로30길,일반인 개방,127.079441,37.553066,능동
10200,서울특별시 광진구 능동 284-9,천호대로110길,일반인 개방,127.078445,37.553456,능동
