법정동코드,주소,새주소-도로명,주차요금 지불방식,일반인이용,계획주차면수,경도,위도
10200,서울특별시 광진구 능동 18-11 육영재단어린이회관,광나루로,"현금, 카드",일반인 개방,350.0,127.077636,37.546993
10200,서울특별시 광진구 능동 255-16 청화빌딩,천호대로,현금,일반인 개방,8.0,127.086932,37.55387
10200,서울특별시 광진구 능동 237-11 광명빌딩,천호대로,현금,일반인 개방,78.0,127.083363,37.555288
10200,서울특별시 광진구 능동 222-7,능동로36길,정보없음,일반인 개방,33.0,127.0808,37.555992
10400,서울특별시 광진구 광장동 445-5,아차산로,카드,일반인 개방,132.0,127.102947,37.544078
10400,서울특별시 광진구 광장동 114 크레스코빌딩,아차산로78길,현금,일반인 개방,500.0,127.109869,37.550697
10400,서울특별시 광진구 광장동 22-1 워커힐호텔,워커힐로,카드,일반인 개방,1027.0,127.111379,37.555212
10400,서울특별시 광진구 광장동 344 인성하이텍빌딩,아차산로,현금,일반인 개방,58.0,127.107205,37.54885
10500,서울특별시 광진구 자양동 219-25,아차산로,현금,일반인 개방,13.0,127.082941,37.536378
10500,서울특별시 광진구 자양동 9-13 서울특별시 동부여성발전센타,아차산로30길,카드,일반인 개방,54.0,127.06674,37.539421
10500,서울특별시 광진구 자양동 226-2,아차산로,"현금, 카드",일반인 개방,11.0,127.076512,37.538537
10500,서울특별시 광진구 자양동 636-9,뚝섬로,"현금, 카드",일반인 개방,28.0,127.079993,37.531686
10500,서울특별시 광진구 자양동 779-3 금강태극빌,아차산로,"현금, 카드",일반인 개방,5.0,127.082111,37.537264
10500,서울특별시 광진구 자양동 779-6,아차산로,카드,일반인 개방,19.0,127.082943,37.53702
10500,서울특별시 광진구 자양동 779-8,자양로,카드,일반인 개방,166.0,127.083091,37.537441
10500,서울특별시 광진구 자양동 681-40 동남빌딩,자양로,현금,일반인 개방,8.0,127.086114,37.53203
10500,서울특별시 광진구 자양동 681-15,자양로,현금,일반인 개방,11.0,127.086021,37.532227
10500,서울특별시 광진구 자양동 553-502 대양빌딩,뚝섬로,"현금, 카드",일반인 개방,19.0,127.071905,37.534077
10500,서울특별시 광진구 자양동 11-4,동일로18길,카드,일반인 개방,33.0,127.066075,37.538917
10500,서울특별시 광진구 자양동 23-4 청진빌딩,아차산로,"현금, 카드",일반인 개방,19.0,127.064225,37.541792
10500,서울특별시 광진구 자양동 681,자양로,현금,일반인 개방,8.0,127.085749,37.532373
10500,서울특별시 광진구 자양동 74-14,능동로,카드,일반인 개방,67.0,127.066749,37.532317
10500,서울특별시 광진구 자양동 219-8 제이 타워,아차산로,"현금, 카드",일반인 개방,4.0,127.082154,37.536595
10700,서울특별시 광진구 화양동 10-1 한아름건물,능동로13길,카드,일반인 개방,107.0,127.069905,37.543535
10700,서울특별시 광진구 화양동 465-1,광나루로,카드,일반인 개방,9.0,127.078989,37.54521
10700,서울특별시 광진구 화양동 48-3 웅진빌딩,아차산로,현금,일반인 개방,21.0,127.067232,37.541462
10700,서울특별시 광진구 화양동 7-2 삼진빌딩,아차산로,현금,일반인 개방,17.0,127.06979,37.540534
10700,서울특별시 광진구 화양동 6-2 연한빌딩,아차산로,현금,일반인 개방,46.0,127.070188,37.540632
10700,서울특별시 광진구 화양동 9-91 캠퍼스 프라자,동일로22길,카드,일반인 개방,49.0,127.068734,37.54151
10700,서울특별시 광진구 화양동 49-9 동신빌딩,아차산로,"현금, 카드",일반인 개방,102.0,127.065158,37.542046
10700,서울특별시 광진구 화양동 50-1,아차산로,현금,일반인 개방,41.0,127.06464,37.542293
10300,서울특별시 광진구 구의동 632-9 광진구창업지원센타,광나루로,"현금, 카드",일반인 개방,13.0,127.081839,37.545077
10300,서울특별시 광진구 구의동 632-11 광진 경제허브센터 도약관,광나루로,카드,일반인 개방,14.0,127.082218,37.545074
10300,서울특별시 광진구 구의동 80-29 구의동 홀가하우스,자양로,현금,일반인 개방,13.0,127.086367,37.546319
10300,서울특별시 광진구 구의동 76-1 그랜드파크 오피스텔,천호대로,"현금, 카드",일반인 개방,74.0,127.08933,37.551379
10300,서울특별시 광진구 구의동 57-30,천호대로137길,정보없음,일반인 개방,27.0,127.09284,37.549419
10300,서울특별시 광진구 구의동 75-1 썬-타워빌딩,천호대로,현금,일반인 개방,66.0,127.089513,37.551055
10300,서울특별시 광진구 구의동 164-2,광나루로,정보없음,일반인 개방,80.0,127.09557,37.545398
10300,서울특별시 광진구 구의동 251-31,자양로,정보없음,일반인 개방,31.0,127.083643,37.540439
10300,서울특별시 광진구 구의동 251-177 솔렌시아,자양로,"현금, 카드",일반인 개방,34.0,127.083975,37.541253
10300,서울특별시 광진구 구의동 243-13,아차산로,카드,일반인 개방,58.0,127.088924,37.538105
10300,서울특별시 광진구 구의동 547-8 리젠트오피스텔,강변역로4길,"현금, 카드",일반인 개방,100.0,127.092711,37.532462
10300,서울특별시 광진구 구의동 587-64 옥산그린타워,구의강변로,"현금, 카드",일반인 개방,22.0,127.091911,37.53574
10300,서울특별시 광진구 구의동 587-54 구의7단지조합현대아파트,구의강변로3가길,카드,일반인 개방,275.0,127.091018,37.536806
10300,서울특별시 광진구 구의동 228-2 씨엔씨빌딩,광나루로,현금,일반인 개방,37.0,127.091463,37.544228
10300,서울특별시 광진구 구의동 203-5 경우빌딩,광나루로,카드,일반인 개방,18.0,127.091812,37.544012
10300,서울특별시 광진구 구의동 203-1 경우빌딩,광나루로44길,현금,일반인 개방,4.0,127.091752,37.544152
10300,서울특별시 광진구 구의동 208-45,광나루로46길,"현금, 카드",일반인 개방,0.0,127.092101,37.541962
10300,서울특별시 광진구 구의동 667 강변에스케이뷰,아차산로,카드,일반인 개방,234.0,127.090127,37.538627
10900,서울특별시 광진구 군자동 464-1 금광빌딩,동일로,현금,일반인 개방,6.0,127.073603,37.558439
10900,서울특별시 광진구 군자동 466-17 군자빌딩,천호대로,현금,일반인 개방,22.0,127.075291,37.55843
10900,서울특별시 광진구 군자동 503 광진두산위브파크,광나루로,정보없음,일반인 개방,288.0,127.071121,37.548421
10300,서울특별시 광진구 구의동 223-65,구의로,현금,일반인 개방,25.0,127.089824,37.54036
10900,서울특별시 광진구 군자동 111-1 세종초등학교,군자로,카드,일반인 개방,194.0,127.072747,37.55354
10900,서울특별시 광진구 군자동 362-1 동일흥업주식회사,군자로,정보없음,일반인 개방,25.0,127.07109,37.549399
10100,서울특별시 광진구 중곡동 693-10,동일로76길,현금,일반인 개방,2.0,127.08059,37.568249
10100,서울특별시 광진구 중곡동 169-80,용마산로,카드,일반인 개방,84.0,127.085563,37.569082
10100,서울특별시 광진구 중곡동 173-2 중곡빌딩,면목로,현금,일반인 개방,12.0,127.082039,37.567739
10100,서울특별시 광진구 중곡동 168-8 중곡문화체육센터,능동로,"현금, 카드",일반인 개방,58.0,127.084654,37.567795
10100,서울특별시 광진구 중곡동 171-24 영조빌딩,면목로,현금,일반인 개방,1.0,127.082199,37.567237
10100,서울특별시 광진구 중곡동 230-12 중곡동 주차빌딩,면목로,"현금, 카드",일반인 개방,140.0,127.080786,37.564528
10100,서울특별시 광진구 중곡동 612-6,동일로,정보없음,일반인 개방,10.0,127.074363,37.559798
10100,서울특별시 광진구 중곡동 613-1,동일로,현금,일반인 개방,3.0,127.074877,37.560827
