k-아파트명,"k-단지분류(아파트,주상복합등등)",kapt도로명주소,주소(읍면동),주소(도로명),k-전체세대수,경도,위도
자양경남아너스빌,아파트,서울특별시 광진구 자양로3길 55,자양동,자양로3길,150,127.083991,37.5294321
자양한강극동,아파트,서울특별시 광진구 능동로3길 53,자양동,능동로3길,158,127.0644764,37.5336956
광장11현대홈타운,연립주택,서울특별시 광진구 아차산로69길 29,광장동,아차산로69길,159,127.0969941,37.5430085
자양현대6차,아파트,서울특별시 광진구 자양번영로3길 66,자양동,자양번영로3길,178,127.0716693,37.5328509
자양현대,아파트,서울특별시 광진구 뚝섬로56길 72,자양동,뚝섬로56길,182,127.0824168,37.5281212
중곡SK,아파트,서울특별시 광진구 용마산로 174,중곡동,용마산로,182,127.086509,37.5688712
한솔리베르,아파트,서울특별시 광진구 뚝섬로56가길 28,자양동,뚝섬로56가길,185,127.084689,37.5281456
광장일신워커힐,,,광장동,,200,127.1088843,37.549662
자양한강현대,아파트,서울특별시 광진구 능동로 19,자양동,능동로,204,127.066837,37.5330936
현대강변,아파트,서울특별시 광진구 자양로3가길 43,자양동,자양로3가길,208,127.0856424,37.5283974
자양우방리버파크,아파트,서울특별시 광진구 능동로4길 78,자양동,능동로4길,214,127.0705581,37.531148
자양경남,아파트,서울특별시 광진구 뚝섬로52길 71,자양동,뚝섬로52길,232,127.0789282,37.5291422
자양2차현대,아파트,서울특별시 광진구 뚝섬로34길 9,자양동,뚝섬로34길,235,127.070339,37.534323
광장동금호베스트빌,아파트,서울특별시 광진구 광나루로 579,광장동,광나루로,242,127.0940234,37.5437571
자양현대홈타운10차,아파트,서울특별시 광진구 뚝섬로34길 25-19,자양동,뚝섬로34길,245,127.0705101,37.5334548
구의삼성쉐르빌,아파트,서울특별시 광진구 구의강변로 106,구의동,구의강변로,252,127.0948021,37.5399785
자양7차현대홈타운,아파트,서울특별시 광진구 능동로4길 41,자양동,능동로4길,252,127.0697787,37.5329831
