법정동코드,주소,새주소-도로명,유무료,경도,위도,법정동명
10200,서울특별시 광진구 능동 257-25,천호대로122길,무료,127.087592,37.552029,능동
10200,서울특별시 광진구 능동 257-25,천호대로122길,무료,127.087252,37.551863,능동
10200,서울특별시 광진구 능동 257-25,천호대로122길,무료,127.087231,37.551871,능동
10200,서울특별시 광진구 능동 258-12,천호대로124길,무료,127.087153,37.551838,능동
10200,서울특별시 광진구 능동 258-5,천호대로124길,무료,127.086458,37.55158,능동
10200,서울특별시 광진구 능동 258-5,천호대로124길,무료,127.086027,37.55154,능동
10200,서울특별시 광진구 능동 258-19,천호대로124길,무료,127.086639,37.55163,능동
10200,서울특별시 광진구 능동 257-25,천호대로122길,무료,127.087377,37.551944,능동
10200,서울특별시 광진구 능동 258-19,천호대로124길,무료,127.086731,37.551669,능동
10200,서울특별시 광진구 능동 257-25,천호대로122길,무료,127.087285,37.551907,능동
10200,서울특별시 광진구 중곡동 244-31,천호대로118길,유료,127.084829,37.55336,능동
10200,서울특별시 광진구 능동 270-9,천호대로116길,유료,127.083886,37.554412,능동
10200,서울특별시 광진구 능동 237-1,천호대로590,유료,127.083007,37.555514,능동
10200,서울특별시 광진구 능동 237-5,천호대로600,유료,127.084189,37.554876,능동
10200,서울특별시 광진구 능동 258-5,천호대로124길,무료,127.086317,37.551552,능동
10200,서울특별시 광진구 능동 258-5,천호대로124길,무료,127.086392,37.552535,능동
10200,서울특별시 광진구 능동 270-10,능동로36길,유료,127.087751,37.553143,능동
10200,서울특별시 광진구 능동 270-10,능동로36길,유료,127.08763,37.553203,능동
10200,서울특별시 광진구 능동 270-10,능동로36길,유료,127.08753,37.553249,능동
10200,서울특별시 광진구 능동 270-10,능동로36길,유료,127.087409,37.553281,능동
10200,서울특별시 광진구 능동 270-10,능동로36길,유료,127.087167,37.553362,능동
10200,서울특별시 광진구 능동 270-10,능동로36길,유료,127.086807,37.553532,능동
10200,서울특별시 광진구 능동 270-10,능동로36길,유료,127.086802,37.553447,능동
10200,서울특별시 광진구 능동 270-7,능동로36길,유료,127.085509,37.554031,능동
10300,서울특별시 광진구 구의동 20-13,영화사로,무료,127.096003,37.554721,구의동
10300,서울특별시 광진구 구의동 28-47,자양로53길,무료,127.093397,37.554025,구의동
10300,서울특별시 광진구 구의동 29-21,자양로51길,무료,127.092478,37.553392,구의동
10300,서울특별시 광진구 구의동 22-34,영화사로16가길,무료,127.095176,37.553361,구의동
10300,서울특별시 광진구 구의동 22-34,영화사로16가길,무료,127.095193,37.553304,구의동
10300,서울특별시 광진구 구의동 23-21,영화사로16나길,무료,127.095496,37.553471,구의동
10300,서울특별시 광진구 구의동 23-19,영화사로16가길,무료,127.095371,37.553373,구의동
10300,서울특별시 광진구 구의동 131-1 (구두수선대 -08),자양로,유료,127.087376,37.545244,구의동
10300,서울특별시 광진구 자양동 616-16,뚝섬로49길,유료,127.086876,37.548437,구의동
10300,서울특별시 광진구 자양동 614-13,뚝섬로43길,유료,127.087855,37.54867,구의동
10300,서울특별시 광진구 자양동 615-27,뚝섬로,유료,127.087823,37.548611,구의동
10300,서울특별시 광진구 자양동 617-40,자양로13길,유료,127.086544,37.548611,구의동
10300,서울특별시 광진구 구의동 132-1,광나루로37길,유료,127.087376,37.545244,구의동
10100,서울특별시 광진구 중곡동 340-2,긴고랑로,유료,127.083528,37.561609,중곡동
10100,서울특별시 광진구 중곡동 150-214 우석빌라,긴고랑로,유료,127.086438,37.559982,중곡동
10100,서울특별시 광진구 중곡동 99-3 대순진리회성동회관,영화사로,유료,127.091513,37.556258,중곡동
10100,서울특별시 광진구 중곡동 39-40,긴고랑로,유료,127.084903,37.560919,중곡동
10100,서울특별시 광진구 중곡동 40-8,긴고랑로,유료,127.082607,37.562074,중곡동
10100,서울특별시 광진구 중곡동 39-40,긴고랑로,유료,127.083747,37.561636,중곡동
10100,서울특별시 광진구 중곡동 150-57,긴고랑로,유료,127.085875,37.560288,중곡동
10100,서울특별시 광진구 중곡동 150-212,긴고랑로,유료,127.086217,37.560103,중곡동
10100,서울특별시 광진구 중곡동 150-213,긴고랑로,유료,127.086308,37.560067,중곡동
10100,서울특별시 광진구 중곡동 38-18,긴고랑로,유료,127.08412,37.561431,중곡동
10100,서울특별시 광진구 중곡동 38-17,긴고랑로,유료,127.084244,37.561352,중곡동
10100,서울특별시 광진구 중곡동 125-1,긴고랑로,유료,127.086959,37.559698,중곡동
10100,서울특별시 광진구 중곡동 40-14 창원빌딩,능동로,유료,127.082494,37.562137,중곡동
10100,서울특별시 광진구 중곡동 39-51,긴고랑로,유료,127.083365,37.561855,중곡동
10100,서울특별시 광진구 중곡동 150-197,긴고랑로,유료,127.085211,37.560637,중곡동
10100,서울특별시 광진구 중곡동 340-2,긴고랑로,유료,127.083577,37.561724,중곡동
10100,서울특별시 광진구 중곡동 39-38,긴고랑로19길,유료,127.083851,37.561591,중곡동
10100,서울특별시 광진구 중곡동 38-32,긴고랑로,유료,127.084072,37.561449,중곡동
10100,서울특별시 광진구 중곡동 38-17,긴고랑로,유료,127.084324,37.561316,중곡동
10100,서울특별시 광진구 중곡동 83-23,영화사로,유료,127.090003,37.557284,중곡동
10100,서울특별시 광진구 중곡동 125-2,긴고랑로,유료,127.087143,37.559585,중곡동
10100,서울특별시 광진구 중곡동 51-1 금영빌딩,긴고랑로22길,유료,127.084104,37.560151,중곡동
10100,서울특별시 광진구 중곡동 83-6,영화사로,유료,127.089568,37.557629,중곡동
10100,서울특별시 광진구 중곡동 56-8 대산리버빌,긴고랑로,유료,127.085419,37.560614,중곡동
10100,서울특별시 광진구 중곡동 56-8 대산리버빌,긴고랑로,유료,127.085296,37.560689,중곡동
10100,서울특별시 광진구 중곡동 150-150,능동로48길,유료,127.086037,37.560301,중곡동
10100,서울특별시 광진구 중곡동 39-40,긴고랑로,유료,127.085502,37.560603,중곡동
10100,서울특별시 광진구 중곡동 39-40,긴고랑로,유료,127.085361,37.560661,중곡동
10100,서울특별시 광진구 중곡동 150-150,능동로48길,유료,127.0859,37.560358,중곡동
10100,서울특별시 광진구 중곡동 107-22,영화사로,유료,127.092641,37.555437,중곡동
