,Unnamed: 0,행정동,경도,위도,subway_최소거리(m),500m지하철역개수,bus_최소거리(m),500m버스정류장개수,badplace_최소거리(m),500m술집개수,parking_최소거리(m),500내주차장개수,300m보호구역여부,200m위험구역여부,cluster
1218,1218,광장동,127.09440585275,37.5430132781037,532.519993860787,0,78.426080491179,5,160.337222533534,22,425.357698430342,0,1,0,0
1219,1219,광장동,127.094400969683,37.5439146154816,592.974702987511,0,111.68225842237,6,206.631332060522,21,464.582903470331,0,0,0,0
1265,1265,광장동,127.095542692049,37.5421158231188,481.049674674716,0,69.8991928780549,8,31.3537861008871,17,504.059096809384,0,1,1,3
1266,1266,광장동,127.095537822827,37.5430171607608,540.39028254379,0,87.7916931387608,6,84.3357991263054,18,530.618412814759,0,1,0,0
1267,1267,광장동,127.095532953387,37.5439184982644,599.966452478613,0,129.174168724661,5,129.072972075916,17,562.459673166382,0,1,0,0
1268,1268,광장동,127.095528083731,37.5448198356295,659.714365188471,0,171.318220948989,5,179.497828522309,17,570.863103166818,0,1,0,0
1313,1313,광장동,127.096679504096,37.5412183568942,467.469865994496,0,109.973926137675,9,94.1976163669773,14,605.400164584219,0,1,1,3
1314,1314,광장동,127.096674648716,37.5421196948,521.260646047967,0,51.7324047865276,7,48.48801498298769,13,621.741276291675,0,1,1,3
1315,1315,광장동,127.096669793121,37.5430210325672,576.387591085343,0,24.1653963961256,6,56.1666849146903,12,597.14571029743,0,1,0,0
1316,1316,광장동,127.096664937309,37.54392237019609,632.501424477704,0,76.2720964902406,6,106.226229622522,11,577.255908114785,0,1,0,0
1317,1317,광장동,127.09666008128,37.5448237076865,689.361186740784,0,135.560447418964,4,163.520726309899,7,563.198376187557,0,1,0,0
1318,1318,광장동,127.096655225036,37.5457250450384,746.796512343827,0,151.033400414296,5,222.530310187662,6,514.94454891281,0,1,0,0
1361,1361,광장동,127.097816288891,37.5403208794309,494.908014995814,0,188.173972266823,6,90.00203572012,13,589.599206558488,0,1,1,3
1362,1362,광장동,127.097811447354,37.5412222176,539.15725939083,0,182.475771855919,8,97.0565611498395,14,549.710216413637,0,1,1,3
1363,1363,광장동,127.0978066056,37.5421235556307,586.321375887223,0,154.190614862957,7,134.409394463458,11,513.869890434765,0,1,1,3
1364,1364,광장동,127.097801763631,37.543024893523,635.751959458363,0,146.894573008372,7,172.166438779596,10,482.980377885238,0,1,0,0
1365,1365,광장동,127.097796921446,37.5439262312767,649.274806798792,0,97.5125624834169,7,194.078514470791,10,458.044386115952,0,1,0,0
1366,1366,광장동,127.097792079046,37.544827568892,643.989982273499,0,41.0971675301759,8,225.980274417098,8,440.07510862794095,0,1,0,0
1409,1409,광장동,127.098953046436,37.53942339073,557.337360913551,0,180.372131195438,7,89.2891972023057,13,556.121568526798,0,1,0,0
1410,1410,광장동,127.098948218739,37.5403247291622,590.723172352143,0,159.203236583616,6,43.1427068013284,13,506.351279625992,0,1,1,3
1411,1411,광장동,127.098943390827,37.5412260674559,583.275543567519,0,159.637182665116,7,55.4663413514542,13,459.17215959485,0,1,1,3
1412,1412,광장동,127.098938562699,37.5421274056111,557.931268217554,0,181.519086093725,6,99.0431885689965,11,415.46787425547507,0,1,1,3
1413,1413,광장동,127.098933734357,37.5430287436279,538.230061134549,1,187.382604413802,8,70.6756021564166,11,376.45060738693104,0,1,0,0
1414,1414,광장동,127.0989289058,37.5439300815063,524.807821919358,1,140.931510945674,9,86.6439574560468,9,343.720209175439,0,1,0,0
1415,1415,광장동,127.098924077027,37.5448314192461,518.152726536,1,109.258936831424,8,131.70402926034,9,319.216409301885,1,1,0,2
1416,1416,광장동,127.098919248039,37.5457327568476,518.525396848838,1,106.488065938939,6,185.772341517044,7,304.928934959534,1,1,0,2
1417,1417,광장동,127.098914418836,37.5466340943105,525.910887583594,1,134.41824191353,5,242.906163491156,6,302.30976608509,1,1,0,2
1418,1418,광장동,127.098909589418,37.547535431635,540.021541948397,1,179.22939559548,3,301.367001748439,6,311.653217696526,1,1,0,2
1419,1419,광장동,127.098904759785,37.548436768821,560.349528156431,0,231.310267595607,2,360.509852245081,2,331.950673930023,0,1,0,0
1420,1420,광장동,127.098899929937,37.5493381058686,586.248445401012,0,286.726435757267,2,420.04672357186,2,318.309738530694,0,1,0,0
1421,1421,광장동,127.098895099873,37.5502394427777,617.017178133579,0,343.869157812377,1,392.676349630845,0,269.287121106891,0,1,0,1
1422,1422,광장동,127.098890269595,37.5511407795483,651.966611943988,0,402.00283623803506,0,350.443034600628,1,225.912066824247,1,1,0,1
1423,1423,광장동,127.098885439101,37.552042116180495,690.462184999236,0,460.752527023378,1,314.248340610987,2,192.050016726517,1,1,0,2
1454,1454,광장동,127.100094590376,37.5376245519593,626.118208539351,0,213.751695255774,4,260.774152947654,4,614.695724577817,0,1,0,0
1455,1455,광장동,127.100089776732,37.5385258907926,597.666721706889,0,154.087185148289,4,217.10511957705,4,556.965572700456,0,1,0,0
1456,1456,광장동,127.100084962874,37.5394272294874,553.347621797393,0,95.514000673341,5,183.28336559248,8,499.897683959017,0,1,0,0
1457,1457,광장동,127.100080148802,37.5403285680438,512.356546204825,0,42.7781787348902,5,165.461870464822,10,443.747635295859,0,1,0,0
1458,1458,광장동,127.100075334515,37.541229906461695,475.55485926918305,0,43.1740621235761,7,142.84642329197,11,388.913167232474,0,1,0,0
1459,1459,광장동,127.100070520014,37.5421312447412,443.985547077265,1,96.0468623982119,7,90.3301761804155,7,336.038914612395,0,1,0,0
1460,1460,광장동,127.100065705298,37.5430325828822,418.833439699666,1,154.638181710357,8,56.9281805839154,9,286.213311273364,0,1,0,0
1461,1461,광장동,127.100060890368,37.5439339208847,401.30695363435,1,207.758444980509,8,75.1593370883487,10,241.332070307116,0,1,0,0
1462,1462,광장동,127.100056075223,37.5448352587489,392.429130848086,1,232.261298543036,7,124.031687923658,10,204.674063366579,1,1,0,2
1463,1463,광장동,127.100051259864,37.5457365964745,392.786837330338,1,230.746425977484,7,180.126658146731,9,181.298003239304,1,1,0,2
1464,1464,광장동,127.10004644429,37.5466379340617,402.35543468062497,1,244.681552640247,5,234.910662579897,8,176.560595000204,1,1,0,2
1465,1465,광장동,127.100041628502,37.5475392715104,420.50660603109105,1,271.325109360916,5,281.57112902538,8,191.847594880861,1,1,0,2
1466,1466,광장동,127.100036812499,37.5484406088207,446.194154519075,1,288.12363324978,4,332.729214449703,6,223.079645188674,1,1,0,2
1467,1467,광장동,127.100031996281,37.5493419459925,478.205127024718,0,315.817117823953,3,385.779818177824,3,264.670971725658,0,1,0,0
1468,1468,광장동,127.100027179849,37.5502432830258,515.362551927161,0,351.842266998874,1,422.237577690142,0,312.512526866485,0,1,0,1
1469,1469,광장동,127.100022363203,37.5511446199207,556.636746029075,0,393.91980034173696,0,453.812487601502,1,332.219357368397,0,1,0,1
1470,1470,광장동,127.100017546342,37.5520459566771,601.180388134149,0,440.317988428755,0,426.361020355174,1,310.020751052578,1,1,0,1
1471,1471,광장동,127.100012729266,37.552947293295,648.319928991337,0,489.81051499688,0,406.13783127319505,1,298.634304456248,1,1,0,1
1499,1499,광장동,127.101231279587,37.5367270405241,632.013455715928,0,289.171065192564,3,392.280651702874,3,652.317070806199,0,0,0,1
1500,1500,광장동,127.101226479781,37.5376283796197,577.639603327591,0,232.898242310726,3,354.379915524308,4,591.983206081706,0,1,0,0
1501,1501,광장동,127.101221679761,37.5385297185768,524.615830456102,0,179.416994015785,4,323.439351783767,4,531.693606689069,0,1,0,0
1502,1502,광장동,127.101216879527,37.5394310573955,473.396004593059,0,132.16088159781,3,301.608642517644,6,471.465248418496,0,1,0,0
1503,1503,광장동,127.10121207908,37.5403323960757,424.633404718305,0,100.347935621325,4,258.454961957861,7,411.325026914171,0,1,0,0
1504,1504,광장동,127.101207278418,37.5412337346175,379.276966798702,1,74.1945626003388,4,198.754324986771,7,351.318199869753,0,1,0,0
1505,1505,광장동,127.101202477543,37.5421350730208,338.697857761715,1,42.4534160013964,6,139.767551580964,8,291.527141295702,0,1,0,0
1506,1506,광장동,127.101197676454,37.5430364112857,304.810082833963,1,73.6690056833765,7,83.0302471909646,10,232.118637100354,0,1,0,0
1507,1507,광장동,127.101192875151,37.5439377494121,280.053307504104,1,127.981705680017,7,39.754702704911,10,173.486122088675,1,1,0,2
1508,1508,광장동,127.101188073634,37.5448390874001,266.979846532829,1,186.168930182643,8,59.951697681772494,8,116.804053785067,1,1,0,2
1509,1509,광장동,127.101183271903,37.5457404252496,267.309429496941,1,159.622660268698,6,113.733571196215,8,67.2035209236314,1,1,0,2
1510,1510,광장동,127.101178469958,37.5466417629607,280.994888269793,1,141.838332692111,6,172.057514037702,8,52.123004066735696,1,1,0,2
