,Unnamed: 0,행정동,경도,위도,subway_최소거리(m),500m지하철역개수,bus_최소거리(m),500m버스정류장개수,badplace_최소거리(m),500m술집개수,parking_최소거리(m),500내주차장개수,300m보호구역여부,200m위험구역여부,cluster
263,263,자양2동,127.073006392022,37.5240093805829,952.789593477399,0,491.10712729229,0,512.930392332921,0,271.192000932816,0,0,0,1
303,303,자양2동,127.074138071835,37.5240134666248,1064.25950345492,0,450.756254543938,0,477.816227415507,0,259.634849117475,0,0,0,1
304,304,자양2동,127.074132948276,37.5249148045902,1038.62100714479,0,391.703375000568,0,418.265863554783,0,199.937825244575,0,0,0,1
305,305,자양2동,127.074127824488,37.525816142417106,1015.94076872108,0,333.16699439328,0,359.030191652055,0,140.919074638387,1,0,0,1
306,306,자양2동,127.074122700473,37.5267174801055,996.420810704106,0,275.476553678903,1,300.295486157788,1,84.0202588199923,1,0,0,1
307,307,자양2동,127.074117576229,37.5276188176554,948.86857472172,0,219.300671506187,1,242.426129361366,5,39.73390194850369,1,0,0,3
347,347,자양2동,127.075269751877,37.5240175418234,1178.65629288307,0,443.75464876291903,0,474.616842119978,0,304.987125397521,0,0,0,1
348,348,자양2동,127.075264641932,37.5249188799207,1155.51167341552,0,383.479738039759,0,414.472272522079,0,255.873378080394,0,0,0,1
349,349,자양2동,127.075259531759,37.525820217879506,1110.10305172963,0,323.285931348078,0,354.445943079818,0,212.705384693738,1,0,0,1
350,350,자양2동,127.075254421359,37.5267215556998,1055.44038141905,0,263.228862743492,1,294.610126392895,1,179.817479637736,1,0,0,1
351,351,자양2동,127.075249310731,37.5276228933816,1001.44790808848,0,203.429658433618,1,235.110312055045,7,163.534142149513,1,1,0,3
352,352,자양2동,127.075244199875,37.5285242309249,948.240117919215,0,144.209440663703,3,176.28703148889,17,168.733054834943,2,1,0,3
353,353,자양2동,127.075239088792,37.5294255683297,895.956817438655,0,86.7619665675265,5,119.146534176849,18,193.692035311897,3,1,0,3
354,354,자양2동,127.075233977481,37.530326905596,844.769672263662,0,39.7171027268929,7,68.0675426335232,23,147.516395468802,2,1,0,3
355,355,자양2동,127.075228865942,37.5312282427238,794.890468391837,0,54.275087442949,7,37.2940361098238,24,109.968103939497,10,1,0,3
393,393,자양2동,127.076401432146,37.5240216061788,1275.05694394421,0,471.590066044818,0,503.940476998966,0,387.770286030713,0,0,0,1
394,394,자양2동,127.076396335815,37.5249229444077,1221.73974863128,0,415.24038481986094,0,447.628118028199,0,349.734824333459,0,0,0,1
395,395,자양2동,127.076391239257,37.525824282498,1169.12099990555,0,360.237019597767,0,392.561571385594,0,295.667362429029,0,0,0,1
396,396,자양2동,127.076386142473,37.5267256204498,1117.29937865038,0,307.303732210375,1,339.34785150935,2,244.62859214778,1,0,0,1
397,397,자양2동,127.076381045461,37.5276269582632,1066.39109845165,0,257.719211430394,1,287.784271740152,10,198.963107508727,2,1,0,3
398,398,자양2동,127.076375948222,37.528528295938,1016.53338681842,0,213.825930945748,4,232.030953946959,18,163.244275539776,2,1,0,3
399,399,자양2동,127.076370850756,37.5294296334743,967.888604461018,0,179.840452548946,5,179.376030922695,20,145.018165289136,3,1,0,3
400,400,자양2동,127.076365753063,37.5303309708722,920.649032675321,0,162.118367099059,7,133.536406375345,24,114.515144809242,2,1,0,3
401,401,자양2동,127.076360655143,37.5312323081315,875.042280583434,0,129.3187766606,7,82.9289284145787,28,57.7500843733943,10,1,0,3
402,402,자양2동,127.076355556996,37.5321336452523,831.337115194262,0,91.4021665386647,7,22.596498108507,29,29.5861964423484,29,1,0,3
441,441,자양2동,127.077533112642,37.524025659691,1279.93556542179,0,528.789395958409,0,471.46807785938,0,380.504951247339,0,0,0,1
442,442,자양2동,127.077528029926,37.524926998051,1239.74027819527,0,479.098272861765,0,414.40962859036495,0,320.091159662166,0,0,0,1
443,443,자양2동,127.077522946983,37.5258283362725,1201.24840650208,0,432.17012248713297,0,358.480324112055,0,259.715401074853,0,0,0,1
444,444,자양2동,127.077517863813,37.5267296743556,1164.62885762434,0,389.006167745452,1,304.303384960646,2,199.412209364624,0,0,0,1
445,445,자양2동,127.077512780418,37.5276310123001,1130.06366066972,0,345.035481558357,1,253.007028301385,10,139.275854663717,5,0,0,1
446,446,자양2동,127.077507696796,37.5285323501061,1095.11065608893,0,285.119592863723,4,206.746597857642,22,79.6849235186143,3,1,0,3
447,447,자양2동,127.077502612947,37.5294336877737,1050.05960662206,0,225.513135286954,5,169.691904053197,26,24.9197393609539,1,1,0,3
448,448,자양2동,127.077497528872,37.5303350253027,1006.62865848517,0,166.548652124257,7,148.882874201032,30,47.0284695358908,2,1,0,3
449,449,자양2동,127.07749244457,37.5312363626932,965.0365687834,0,109.270372841907,8,99.860330818237,33,105.459621566734,5,1,0,3
450,450,자양2동,127.077487360042,37.5321376999452,925.531274786343,0,58.8289970215127,8,70.2696688798427,32,154.12763490929,28,1,0,3
492,492,자양2동,127.078664793365,37.52402970236,1191.01974261948,0,546.301581995559,0,449.41387630232,0,337.867164657163,0,0,0,1
493,493,자양2동,127.078659724262,37.5249310408508,1147.66461553136,0,486.179983213118,0,388.992169401195,0,295.88531023906,0,0,0,1
494,494,자양2동,127.078654654934,37.5258323792031,1105.92095859104,0,426.164743074674,0,328.598201121111,0,261.270212987805,6,0,0,1
495,495,자양2동,127.078649585381,37.526733717417,1065.97810116886,0,366.30813411448,0,268.250696413492,5,226.784678739647,17,0,0,1
496,496,자양2동,127.078644515601,37.5276350554924,1028.04596222016,0,306.703036917065,1,207.990088792478,12,175.93711047837,21,0,0,1
497,497,자양2동,127.078639445596,37.5285363934292,992.355140868247,0,247.531197202979,4,147.922596818983,24,133.401708052481,18,0,0,3
498,498,자양2동,127.078634375364,37.5294377312276,959.155869409429,0,189.199538753066,5,88.4425412866676,29,109.351411771901,11,1,0,3
499,499,자양2동,127.078629304907,37.53033906888751,928.715383322626,0,132.8196620251,6,32.9064819487785,33,115.92673384041,2,1,0,3
500,500,자양2동,127.078624234224,37.5312404064089,901.313244072557,0,82.4953283365072,7,34.832839987797,37,149.130275057338,2,1,0,3
501,501,자양2동,127.078619163315,37.5321417437917,877.234220795922,0,57.3559877944206,8,26.0426720932074,38,133.621847265134,7,1,0,3
545,545,자양2동,127.079796474313,37.52403373418569,1109.30772575223,0,548.506200931862,0,461.958411578609,0,270.657644828308,0,0,0,1
546,546,자양2동,127.079791418825,37.524935072807,1062.5702268067,0,488.54248791552,0,403.28304061733,0,215.729029754282,0,0,0,1
547,547,자양2동,127.079786363112,37.5258364112898,1017.28490668032,0,428.72894787094,0,345.237346754529,0,164.750608495494,22,0,0,1
548,548,자양2동,127.079781307174,37.5267377496342,973.654408886359,0,369.138580125092,0,288.202034009326,7,122.746898177851,30,0,0,1
549,549,자양2동,127.07977625101,37.52763908784,931.911187190557,0,309.900142674981,1,232.920513128328,13,101.543697322238,31,0,0,3
550,550,자양2동,127.079771194622,37.5285404259074,892.320141036751,0,251.262663699375,3,176.315712991785,19,113.471236470172,31,0,0,3
551,551,자양2동,127.079766138008,37.5294417638362,855.180227765909,0,193.772466316864,4,119.041130980229,34,150.86614026899,25,0,0,3
552,552,자양2동,127.079761081169,37.5303431016266,820.824231216164,0,138.861874448494,5,67.634254442699,36,199.914303975858,6,0,0,3
553,553,자양2동,127.079756024104,37.531244439278495,789.61561408515,0,91.3097734928239,6,34.0283607509706,39,244.289467088853,3,0,0,3
598,598,자양2동,127.080928155486,37.5240377551682,1036.5046449248,0,521.661497142552,0,430.192814649007,0,250.001963905323,0,0,0,1
599,599,자양2동,127.080923113613,37.5249390939196,986.265799282054,0,464.87081093466304,0,375.672572246366,0,189.742788691508,0,0,0,1
600,600,자양2동,127.080918071515,37.5258404325325,937.240628783353,0,409.14522607499293,0,323.287334926009,2,129.243649616621,30,0,0,1
601,601,자양2동,127.080913029192,37.526741771007,889.629800161393,0,354.98668600192,0,274.263213148724,5,68.74612210143,30,0,0,1
602,602,자양2동,127.080907986645,37.527643109343,843.672789806161,0,303.235978516953,1,230.752471663498,14,8.28522947570942,30,0,0,3
603,603,자양2동,127.080902943873,37.5285444475405,799.65478500367,0,255.361203908796,2,196.453237073612,23,51.7797693584673,30,0,1,2
604,604,자양2동,127.080897900876,37.529445785599506,757.913697096526,0,213.979902736858,3,149.168795894684,28,112.028648056199,31,0,1,2
605,605,자양2동,127.080892857655,37.53034712352,718.846271195918,0,183.538049896704,4,103.720852516174,31,167.305445088061,18,1,0,3
606,606,자양2동,127.080887814209,37.531248461302,682.911515083319,0,170.017027292698,4,81.1499740379017,36,135.258444999096,3,1,0,3
651,651,자양2동,127.082054808625,37.5249431041886,920.938818538505,0,435.874529936472,0,337.21749087769,0,184.924006000936,0,0,0,1
652,652,자양2동,127.082049780142,37.5258444429313,868.167857755917,0,375.727683876476,0,277.471617104026,3,124.422585462792,30,0,0,1
653,653,자양2동,127.082044751435,37.5267457815356,816.470544638514,0,315.716563933861,0,218.142920803251,4,63.9215456600662,30,0,0,3
654,654,자양2동,127.082039722504,37.5276471200013,766.064269312783,0,255.936650248316,1,159.697016592167,14,3.4401793570107,30,0,1,2
655,655,자양2동,127.082034693349,37.5285484583286,717.22128159297,0,196.59895011371,2,103.638323481314,23,57.0840296064811,30,0,1,2
656,656,자양2동,127.08202966397,37.5294497965174,670.283410638097,0,138.273922481032,3,57.4423451177252,27,117.528096503769,32,1,1,2
657,657,자양2동,127.082024634367,37.5303511345677,625.679558798823,0,83.1213237218388,3,56.3852287694707,29,111.285529787695,23,1,1,2
658,658,자양2동,127.082019604539,37.5312524724795,583.944809126208,0,44.9396462229654,6,2.48489474755903,33,50.7843889234186,3,1,0,3
703,703,자양2동,127.083186503862,37.524947103614,869.068321100577,0,442.27952208901905,0,320.051820405444,0,189.904935635285,0,0,0,1
704,704,자양2동,127.083181488994,37.5258484424861,812.86831541655,0,382.996450435048,0,259.590237524649,3,131.089495977453,27,0,0,1
705,705,자양2동,127.083176473902,37.5267497812198,757.332049089931,0,324.16437168199,0,199.153987109077,4,75.0082912862939,30,0,0,3
706,706,자양2동,127.083171458587,37.527651119815,702.616925516368,0,266.082592989702,1,138.776148532396,10,37.27253899104831,30,0,1,2
707,707,자양2동,127.083166443049,37.5285524582717,648.93067942801,0,209.376442049136,2,78.5914247499491,18,66.8838196064368,30,0,1,2
708,708,자양2동,127.083161427287,37.52945379659,596.551150187614,0,155.557637590656,3,20.3882975153413,24,121.978881015876,31,1,1,2
709,709,자양2동,127.083156411302,37.5303551347697,545.854634910166,0,108.990792454955,4,42.0608653924148,29,142.867671628282,7,1,1,2
710,710,자양2동,127.083151395093,37.531256472811,497.35605339855294,0,82.9513793345373,5,78.2934344747508,32,104.635562932853,2,1,0,3
755,755,자양2동,127.084318199322,37.52495109219569,833.171388358036,0,482.678565926993,0,340.858164669103,0,248.159686127115,0,0,0,1
756,756,자양2동,127.084313198068,37.525852431197,774.298663916224,0,428.88786362823,0,284.656610650785,2,206.386873704017,13,0,0,1
757,757,자양2동,127.084308196593,37.5267537700597,715.698432358058,0,377.137028561068,0,230.642499957562,4,175.867147712877,22,0,0,1
758,758,자양2동,127.084303194894,37.527655108784,657.443558006931,0,328.3918519306,1,180.787203625246,10,163.047109802856,26,0,1,2
759,759,자양2동,127.084298192972,37.5285564473698,599.634699436809,0,284.203103511003,2,136.340245618832,12,171.932704624782,23,0,1,2
760,760,자양2동,127.084293190828,37.5294577858171,542.414474979552,0,236.700351246741,3,75.9524672015624,15,199.646518951305,15,1,1,2
761,761,자양2동,127.084288188461,37.530359124126,485.990839250429,0,186.54535643145,4,16.4475122453305,25,239.745671525363,3,1,0,3
762,762,자양2동,127.084283185871,37.5312604622963,430.67698620241293,0,144.54447219035,5,20.4549892200457,29,224.3719844918,4,1,0,3
766,766,자양2동,127.084263173282,37.534865813593,236.398406771171,1,15.0086890763932,11,87.9165770603474,55,34.7972550506655,5,1,0,0
767,767,자양2동,127.084258169578,37.5357671510709,204.424502244904,1,48.8072273686429,10,32.0122854460986,59,74.421349864958,5,0,0,0
768,768,자양2동,127.08425316565,37.5366684884103,187.126828608781,1,62.1011698779902,11,40.5194648835742,54,131.102168669093,6,0,0,0
807,807,자양2동,127.085449895004,37.5249550699339,815.360516672321,0,509.176970118359,0,401.530959690367,0,344.739160739013,0,0,0,1
808,808,자양2동,127.085444907366,37.5258564090638,755.027161881404,0,448.681023143049,0,344.981145525863,1,315.831946718856,0,0,0,1
