총인구수,0~4세,5~9세,0~9세,세대당인구,실내놀이터+키즈카페,주변_키즈카페_포함,소득분위,가구수,혼잡빈도강도_평일,혼잡시간강도_평일,서울형키즈카페,주변_서울형키즈카페,1차 클러스터링,행정동,2차 클러스터링 결과
15239,264,256,520,1.76,1,3,6.0,8644.0,82,89,0,0,0,중곡1동,0.0
20521,302,489,791,1.94,1,4,6.0,10569.0,87,93,0,0,0,중곡2동,0.0
15727,272,288,560,1.85,2,2,5.0,8495.0,89,94,0,2,-1,중곡3동,
27594,454,525,979,2.11,1,2,6.0,13022.0,71,84,0,1,0,중곡4동,1.0
11097,220,229,449,1.71,2,2,6.0,6456.0,53,74,0,0,-1,능동,
23127,365,467,832,1.77,0,4,6.0,12519.0,90,95,0,0,0,구의1동,0.0
25610,528,772,1300,2.23,2,3,6.0,11380.0,81,89,0,0,0,구의2동,1.0
27840,640,867,1507,2.31,2,4,8.0,12048.0,53,68,0,0,-1,구의3동,
33971,660,1716,2376,2.87,1,0,9.0,11851.0,73,82,0,0,-1,광장동,
21833,293,398,691,1.82,1,2,6.0,11960.0,70,81,0,0,0,자양1동,0.0
23628,531,641,1172,2.17,0,1,7.0,10890.0,70,82,0,0,0,자양2동,2.0
27221,798,1053,1851,2.48,3,3,8.0,10951.0,70,80,1,3,-1,자양3동,
19883,370,425,795,1.81,0,3,6.0,10929.0,85,91,2,3,-1,자양4동,
23193,164,162,326,1.28,0,2,6.0,18696.0,76,88,0,1,-1,화양동,
19070,318,396,714,1.69,1,2,6.0,11293.0,82,90,0,0,0,군자동,0.0
