,행정동,경도,위도,주차장수,최소거리(m)
29,자양4동,127.06163686284567,37.532981282470686,3.0,37.0
30,자양4동,127.0616315871804,37.53388261757683,7.0,48.0
32,자양4동,127.06162103514492,37.535685287373504,1.0,54.0
33,자양4동,127.06161575877458,37.53658662206401,1.0,35.0
60,자양4동,127.0638847444376,37.53569366900274,1.0,30.0
73,자양4동,127.06504277345763,37.5311911659837,1.0,23.0
104,자양4동,127.066122342929,37.54020868201338,1.0,36.0
117,자양3동,127.0673063479488,37.53119948118122,1.0,57.0
151,자양4동,127.0683965812162,37.538414308172825,1.0,31.0
181,화양동,127.0695181143638,37.540221110023474,1.0,41.0
218,화양동,127.07061385398944,37.546534573605314,1.0,21.0
251,화양동,127.07175103018022,37.54563735028174,1.0,61.0
252,화양동,127.0717458738827,37.54653868465781,1.0,33.0
289,화양동,127.07287275110784,37.54744411922857,1.0,44.0
299,군자동,127.072821309527,37.55645745531103,1.0,16.0
307,자양2동,127.0741175762285,37.52761881765543,1.0,38.0
372,화양동,127.0751419349383,37.5465509527035,1.0,43.0
379,군자동,127.0751061206797,37.55286029223568,1.0,49.0
381,군자동,127.07509588598292,37.554662959426665,1.0,52.0
402,자양2동,127.07635555699558,37.53213364525233,1.0,27.0
403,자양1동,127.07635045862126,37.53303498223465,2.0,66.0
404,자양1동,127.07634536001984,37.53393631907848,18.0,53.0
405,자양1동,127.07634026119132,37.53483765578378,6.0,46.0
406,자양3동,127.07633516213562,37.53573899235058,21.0,45.0
407,자양3동,127.07633006285278,37.536640328778866,11.0,49.0
408,자양3동,127.07632496334278,37.537541665068645,4.0,54.0
416,화양동,127.0762841590838,37.54475235040035,1.0,51.0
425,군자동,127.07623823690714,37.552864360801586,1.0,50.0
426,군자동,127.07623313330645,37.55376569459795,2.0,58.0
428,군자동,127.07622292542295,37.55556836177512,1.0,32.0
431,군자동,127.07620761189231,37.55827236150184,1.0,50.0
447,자양2동,127.07750261294696,37.52943368777365,1.0,31.0
456,자양1동,127.07745684811717,37.537545720548835,11.0,68.0
473,능동,127.07737035336191,37.552868418513015,2.0,37.0
475,군자동,127.07736017320124,37.5546710862298,7.0,18.0
481,중곡1동,127.0773296272764,37.560079086055374,1.0,46.0
486,중곡1동,127.07730416610131,37.56458574876691,1.0,53.0
503,자양1동,127.07860902082004,37.53394441814201,1.0,25.0
539,중곡3동,127.0784263012945,37.566392461702925,1.0,23.0
577,능동,127.0796345869511,37.55287650137247,1.0,38.0
593,중곡3동,127.07955355668838,37.56729783177556,1.0,43.0
595,중곡3동,127.07954342384384,37.56910049558229,1.0,57.0
602,자양2동,127.08090798664496,37.52764310934299,12.0,25.0
610,자양1동,127.08086763817931,37.53485381104522,1.0,33.0
612,자양1동,127.080857548816,37.53665648508583,1.0,31.0
630,능동,127.08076670408428,37.55288052652049,1.0,50.0
631,능동,127.08076165501852,37.55378186083987,1.0,52.0
654,자양2동,127.08203972250406,37.52764712000132,15.0,15.0
659,자양1동,127.082014574488,37.532153810252865,2.0,34.0
661,자양1동,127.08200451371316,37.53395648538407,1.0,39.0
694,중곡1동,127.08183838145092,37.56370054506272,1.0,23.0
706,자양2동,127.08317145858722,37.527651119815,3.0,30.0
716,자양1동,127.08312129314842,37.53666449815033,1.0,43.0
721,구의1동,127.08309620204776,37.54117118212462,1.0,39.0
737,능동,127.08301587295908,37.55559254757386,1.0,8.0
744,중곡2동,127.08298071097428,37.56190188380758,11.0,57.0
766,자양2동,127.08426317328193,37.53486581359295,2.0,28.0
770,구의1동,127.0842431571269,37.538471162673765,1.0,51.0
788,능동,127.08415304027902,37.55469520611499,2.0,20.0
790,중곡2동,127.0841430228346,37.55649787483834,1.0,16.0
793,중곡2동,127.0841279949944,37.55920187688448,2.0,14.0
794,중곡2동,127.084122985268,37.56010321062282,1.0,5.0
795,중곡2동,127.08411797531842,37.56100454422265,6.0,43.0
796,중곡2동,127.0841129651456,37.561905877683955,3.0,41.0
832,능동,127.08532513737188,37.54748850663839,1.0,48.0
839,능동,127.0852901803296,37.5537978534044,2.0,32.0
844,중곡2동,127.08526520433875,37.558304525510614,1.0,38.0
847,중곡2동,127.08525021607367,37.56100852711217,7.0,30.0
855,중곡3동,127.08521023757214,37.5682191919548,1.0,27.0
857,중곡3동,127.08520024072028,37.5700218567802,1.0,45.0
867,자양2동,127.08653681672286,37.533071085168366,1.0,46.0
