,Unnamed: 0,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총인원,본사종업원수,공장사무직종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
83,83,3040000,3040000-101-1979-02512,1979-02-08,,1,영업/정상,1,영업,,,,,02 4981100,37.82,143-150,"서울특별시 광진구 군자동 477-19 ,20 ","서울특별시 광진구 능동로 297 (군자동,,20)",4997.0,치킨뱅이,2022-11-30 15:41:28,U,2022-12-02 02:40:00.0,호프/통닭,206884.950871245,450471.512045167,호프/통닭,0.0,0.0,주택가주변,을,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,37.82,,,
306,306,3040000,3040000-101-1982-01215,1982-12-14,,1,영업/정상,1,영업,,,,,02 4543518,65.92,143-847,서울특별시 광진구 능동 223-6 ,서울특별시 광진구 능동로36길 38 (능동),4985.0,철길부산집 군자역점,2024-08-01 10:47:24,U,2024-08-03 02:40:00.0,호프/통닭,207096.839427047,450370.322395007,호프/통닭,0.0,,주택가주변,기타,상수도전용,,,,,,,,,N,65.92,,,
472,472,3040000,3040000-101-1983-04453,1983-04-22,,1,영업/정상,1,영업,,,,,02 4948600,24.5,143-908,서울특별시 광진구 중곡동 341-28 ,서울특별시 광진구 천호대로111길 7 (중곡동),4929.0,감탄(중곡점),2021-06-28 16:18:32,U,2021-06-30 02:40:00.0,호프/통닭,207168.798582797,450507.082707788,호프/통닭,1.0,1.0,주택가주변,을,상수도전용,,,,,,,,,N,24.5,,,
477,477,3040000,3040000-101-1983-04594,1983-12-05,,1,영업/정상,1,영업,,,,,02 4448292,99.8,143-825,서울특별시 광진구 구의동 246-31 ,서울특별시 광진구 자양로18길 14 (구의동),5044.0,옥된장 구의점,2024-06-14 10:12:20,U,2024-06-16 02:40:00.0,호프/통닭,207380.5402062,448360.699483182,호프/통닭,0.0,0.0,주택가주변,을,상수도전용,,,,,,,,,N,99.8,,,
596,596,3040000,3040000-101-1984-02768,1983-04-21,,1,영업/정상,1,영업,,,,,02 4656942,19.8,143-916,서울특별시 광진구 화양동 24-2 ,서울특별시 광진구 동일로28길 6 (화양동),5013.0,그랑나랑,2022-01-05 18:33:01,U,2022-01-08 02:40:00.0,호프/통닭,205856.107055534,449379.495243321,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,19.8,,,
708,708,3040000,3040000-101-1985-01015,1985-10-07,,1,영업/정상,1,영업,,,,,02 4619285,84.56,143-843,서울특별시 광진구 자양동 52-214 ,서울특별시 광진구 뚝섬로 484 (자양동),5084.0,본스치킨자양본점,2021-06-28 16:29:35,U,2021-06-30 02:40:00.0,호프/통닭,205586.426272937,448229.432020682,호프/통닭,0.0,0.0,기타,을,상수도전용,,,,,,,,,N,84.56,,,
1044,1044,3040000,3040000-101-1987-01125,1987-11-16,,1,영업/정상,1,영업,,,,,02 4443853,49.27,143-889,서울특별시 광진구 중곡동 115-4 ,서울특별시 광진구 천호대로 647 (중곡동),4953.0,심야식당 히로,2024-04-01 11:19:27,U,2024-04-03 02:40:00.0,호프/통닭,207824.309885177,450114.867821901,호프/통닭,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,N,49.27,,,
1076,1076,3040000,3040000-101-1987-02820,1987-02-18,,1,영업/정상,1,영업,,,,,02 4628413,,143-914,서울특별시 광진구 화양동 7-1번지 ,서울특별시 광진구 아차산로33길 7 (화양동),5018.0,펀비어킹,2017-11-30 10:16:36,I,2018-08-31 23:59:59.0,호프/통닭,206109.083667214,448718.215631071,호프/통닭,0.0,,주택가주변,을,상수도전용,,,,,,,,,N,97.95,,,
1084,1084,3040000,3040000-101-1987-03042,1987-07-28,,1,영업/정상,1,영업,,,,,02 4557792,27.06,143-826,서울특별시 광진구 구의동 252-115 ,서울특별시 광진구 자양로18길 19 (구의동),5043.0,더맛존바베큐,2021-06-21 16:23:24,U,2021-06-23 02:40:00.0,호프/통닭,207413.460283436,448398.402229912,호프/통닭,0.0,0.0,주택가주변,을,상수도전용,,,,,,,,,N,27.06,,,
1122,1122,3040000,3040000-101-1987-03252,1987-04-08,,1,영업/정상,1,영업,,,,,02 4472917,,143-926,서울특별시 광진구 화양동 507-3번지 ,서울특별시 광진구 광나루로26길 16 (화양동),5022.0,사오정,2015-02-24 18:03:21,I,2018-08-31 23:59:59.0,호프/통닭,206722.531001496,449247.822854138,호프/통닭,0.0,0.0,주택가주변,을,상수도전용,,,,,,,,,N,53.12,,,
1174,1174,3040000,3040000-101-1987-04859,1987-04-27,,1,영업/정상,1,영업,,,,,02 4331131,20.92,143-909,서울특별시 광진구 중곡동 564-11번지 ,서울특별시 광진구 답십리로 374 (중곡동),4902.0,꽃돼지,2019-07-12 15:36:35,U,2019-07-14 02:40:00.0,호프/통닭,207169.713123245,452126.656821486,호프/통닭,0.0,0.0,주택가주변,을,상수도전용,,,,,,,,,N,20.92,,,
1216,1216,3040000,3040000-101-1988-00790,1988-10-27,,1,영업/정상,1,영업,,,,,,44.4,143-828,서울특별시 광진구 구의동 257-76번지 ,서울특별시 광진구 아차산로51길 36 (구의동),5043.0,역전할머니맥주서울구의점,2019-12-13 15:40:09,U,2019-12-17 02:40:00.0,호프/통닭,207456.51210337,448476.74793719,호프/통닭,1.0,0.0,주택가주변,지도,상수도전용,,,,,,,,,N,44.4,,,
1238,1238,3040000,3040000-101-1988-01278,1988-07-21,,1,영업/정상,1,영업,,,,,02 4683558,43.87,143-903,서울특별시 광진구 중곡동 240-8 ,서울특별시 광진구 긴고랑로 25 (중곡동),4911.0,마니아우동,2022-07-13 10:13:06,U,2022-07-15 02:40:00.0,호프/통닭,206936.996830712,451253.072347424,호프/통닭,0.0,0.0,주택가주변,을,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,43.87,,,
1280,1280,3040000,3040000-101-1988-02724,1988-04-13,,1,영업/정상,1,영업,,,,,02 4990410,73.99,143-914,서울특별시 광진구 화양동 8-26 ,"서울특별시 광진구 동일로22길 105, 지층 (화양동)",5017.0,빡순대국밥,2024-10-07 15:58:20,U,2024-10-09 02:40:00.0,호프/통닭,206104.276455868,448747.933865195,호프/통닭,1.0,2.0,주택가주변,을,상수도전용,,,,,,,,,Y,73.99,,,
1314,1314,3040000,3040000-101-1988-03200,1988-03-03,,1,영업/정상,1,영업,,,,,02 4670339,47.88,143-915,서울특별시 광진구 화양동 213 ,서울특별시 광진구 능동로19길 12 (화양동),5009.0,베네치아,2021-06-21 16:24:54,U,2021-06-23 02:40:00.0,호프/통닭,206387.925766945,449434.26661297,호프/통닭,1.0,1.0,주택가주변,지도,상수도전용,,,,,,,,,N,47.88,,,
1379,1379,3040000,3040000-101-1988-04686,1988-06-18,,1,영업/정상,1,영업,,,,,02 4675562,27.72,143-912,서울특별시 광진구 중곡동 648-15 ,서울특별시 광진구 능동로 317 (중곡동),4919.0,둘리호프,2022-04-11 15:49:30,U,2022-04-13 02:40:00.0,호프/통닭,206972.992435057,450643.455942918,호프/통닭,1.0,0.0,주택가주변,을,상수도전용,,,,,,,,,N,27.72,,,
