lastmodts,dtlstatenm,totepnum,wmeipcnt,bplcnm,maneipcnt,isream,jtupsoasgnno,faciltotscp,jtupsomainedf,multusnupsoyn,clgenddt,sitearea,dcbymd,clgstdt,trdstategbn,trdstatenm,apvcancelymd,sitepostno,fctysiljobepcnt,opnsfteamcode,sitetel,fctypdtjobepcnt,sitewhladdr,dtlstategbn,rdnpostno,bdngownsenm,trdpjubnsenm,homepage,monam,fctyowkepcnt,updategbn,updatedt,apvpermymd,wtrsplyfacilsenm,lvsenm,uptaenm,hoffepcnt,rdnwhladdr,sntuptaenm,y,ropnymd,mgtno,x
2024-09-10 18:17:45,폐업,0,0,한영술마시는노래방,0,0,,75.33,,Y,,75.33,2024-09-11,,03,폐업,,143-915,0,3040000,02 4653939,0,서울특별시 광진구 화양동 192 ,02,,,기타,,0,0,U,1726076400000,1972-08-04,상수도전용,기타,비어(바)살롱,0,서울특별시 광진구 광나루로 384 (화양동),비어(바)살롱,449475.467757151    ,,3040000-102-1972-06844,206330.286290355    
2021-05-11 14:01:35,폐업,,0,팔도강산,0,,,114.1,,Y,,114.10,2021-05-11,,03,폐업,,143-898,,3040000,02 4473309,,서울특별시 광진구 중곡동 157-23 ,02,04929,,주택가주변,,,,U,1620841200000,1974-11-05,상수도전용,기타,스텐드바,,서울특별시 광진구 천호대로 555 (중곡동),스텐드바,450562.934993621    ,,3040000-102-1974-06848,207009.688679603    
2021-05-04 14:55:23,영업,,0,카라노래바,0,,,89.48,,Y,,89.48,,,01,영업/정상,,143-916,,3040000,02 4986262,,서울특별시 광진구 화양동 23-39 ,01,05007,,주택가주변,,,,U,1620236400000,1974-10-19,상수도전용,기타,룸살롱,,서울특별시 광진구 동일로 168 (화양동),룸살롱,449421.557205139    ,,3040000-102-1974-06852,205850.752898178    
2009-04-08 10:53:17,폐업,,,앵콜술마시는노래방,,,,112.55,,N,,,2010-06-21,,03,폐업,,143-915,,3040000,02 4644399,,서울특별시 광진구 화양동 132-75번지 ,02,,,,,,,I,1535727599000,1975-10-10,,,스텐드바,,,스텐드바,449443.616319427    ,,3040000-102-1975-06843,206164.174089426    
2014-12-19 15:33:45,폐업,,,해피,,,,176.87,,N,,,2015-01-23,,03,폐업,,143-916,,3040000,02 4972411,,서울특별시 광진구 화양동 20-25번지 ,02,05007,,,,,,I,1535727599000,1975-11-26,,,카바레,,서울특별시 광진구 광나루로12길 19 (화양동),카바레,449388.004193115    ,,3040000-102-1975-06849,205905.74839177     
2001-11-29 00:00:00,폐업,,1,거북,1,,,96.36,,N,,,1996-05-30,,03,폐업,,143-847,,3040000,02 4461726,,서울특별시 광진구 능동 91-4번지 ,02,,,주택가주변,,,,I,1535727599000,1975-01-15,상수도전용,을,룸살롱,,,룸살롱,,,3040000-102-1975-06854,
2021-08-10 16:24:18,폐업,0,0,바나나클럽,0,0,,94.96,,Y,,94.96,2021-08-10,,03,폐업,,143-130,0,3040000,02 4974833,0,"서울특별시 광진구 화양동 23-28 , 29 ",02,05007,,기타,,0,0,U,1628703600000,1975-11-26,상수도전용,,룸살롱,0,"서울특별시 광진구 동일로 170 (화양동,, 29)",룸살롱,449443.416894074    ,,3040000-102-1975-06857,205860.717455208    
2022-08-19 12:33:06,영업,0,0,술마시는뮤직노래방,0,0,,119.5,,Y,,119.50,,,01,영업/정상,,143-961,0,3040000,02 4587970,0,서울특별시 광진구 구의동 228-1 ,01,05033,,기타,,0,0,U,1661017200000,1976-11-01,상수도전용,을,룸살롱,0,서울특별시 광진구 구의로 72 (구의동),룸살롱,449133.204252319    ,,3040000-102-1976-06841,207948.082969671    
2019-03-07 10:25:38,영업,,,쎄시,,,,96.76,,Y,,96.76,,,01,영업/정상,,143-840,,3040000,02 4978170,,서울특별시 광진구 군자동 355-14번지 ,01,05003,,,,,,U,1552066800000,1976-02-23,,,룸살롱,,서울특별시 광진구 광나루로 347 (군자동),룸살롱,449576.658143009    ,,3040000-102-1976-06858,205997.23851977     
2021-03-17 18:05:24,영업,,0,파라곤노래바,0,,,100,,Y,,100.00,,,01,영업/정상,,143-840,,3040000,02 4651159,,서울특별시 광진구 군자동 359 ,01,05003,,기타,,,,U,1616089200000,1977-01-07,상수도전용,기타,룸살롱,,서울특별시 광진구 군자로 69 (군자동),룸살롱,449683.137301888    ,,3040000-102-1977-06846,206167.328993767    
2019-03-07 10:27:55,영업,,,비타민,,,,181.05,,Y,,181.05,,,01,영업/정상,,143-840,,3040000,02 4662293,,서울특별시 광진구 군자동 355-10번지 ,01,05003,,,,,,U,1552066800000,1977-03-23,,,룸살롱,,서울특별시 광진구 광나루로 341 (군자동),룸살롱,449586.519434337    ,,3040000-102-1977-06859,205932.977481779    
