시설이름,시설구분,동이름
캘리클럽 강변점,"키즈카페,실내놀이터","서울 광진구 구의동"
서울형키즈카페 시립뚝섬자벌레점,"키즈카페,실내놀이터","서울 광진구 자양동"
펀노리터 서울광진점,"키즈카페,실내놀이터","서울 광진구 중곡동"
데굴데굴키즈파티룸 구의점,"키즈카페,실내놀이터","서울 광진구 구의동"
퐁퐁플라워 건대센터,"키즈카페,실내놀이터","서울 광진구 자양동"
점핑몬스터 구의점,"키즈카페,실내놀이터","서울 광진구 구의동"
더키즈프리미엄키즈카페,"키즈카페,실내놀이터","서울 광진구 중곡동"
클래비키즈파크,"키즈카페,실내놀이터","서울 광진구 능동"
프로맘킨더 롯데백화점 건대스타시티점,"키즈카페,실내놀이터","서울 광진구 자양동"
서울형 키즈카페 광진구 중곡 3동점,"키즈카페,실내놀이터","서울 광진구 중곡동"
서울형형키즈카페 자양4동점,"키즈카페,실내놀이터","서울 광진구 자양동"
아이점프 군자점,"키즈카페,실내놀이터","서울 광진구 군자동"
블럭고고 놀이방,"키즈카페,실내놀이터","서울 광진구 광장동"
헬로방방 자양점,"키즈카페,실내놀이터","서울 광진구 자양점"
행복팡팡,"키즈카페,실내놀이터","서울 광진구 구의동"
키즈방방,"키즈카페,실내놀이터","서울 광진구 중곡동"
하이하이,"키즈카페,실내놀이터","서울 광진구 중곡동"
아키블럭 자양동점,"키즈카페,실내놀이터","서울 광진구 자양동"
