구분,단지명,아파트소재지,동수,세대수,층수,관리사무소연락처,관리사무소팩스,데이터기준일자
아파트,삼민,서울특별시 광진구 긴고랑로15길 32(중곡2동609),1,36,6,02-454-6402,02-454-6402,2021-02-08
아파트,중곡2차,서울특별시 광진구 긴고랑로1길 55(중곡3동190-26),3,120,5,02-469-2265,,2021-02-08
아파트,중곡1차,서울특별시 광진구 동일로72길 17(중곡3동191-77),3,150,5,02-467-1019,02-467-1019,2021-02-08
아파트,중곡성원,서울특별시 광진구 동일로 459(중곡3동681),1,91,24,02-492-9505,02-492-9505,2021-02-08
아파트,광덕,서울특별시 광진구 동일로76가길 17(중곡3동683),1,55,12,02-461-3582,02-461-3582,2021-02-08
아파트,중곡에스케이,서울특별시 광진구 용마산로 174(중곡4동292),3,182,21,02-3437-4185,02-3437-4184,2021-02-08
아파트,구의동새한,서울특별시 광진구 자양로26길 71(구의1동656),5,126,9,02-456-9109,070-8976-4918,2021-02-08
아파트,아차산한라(한라녹턴),서울특별시 광진구 영화사로16길 43(구의2동 662),2,72,6,02-455-0998,02-444-7497,2021-02-08
아파트,아차산 휴먼시아,서울특별시 광진구 천호대로 716(구의2동 663),3,125,12,02-455-0126,02-455-0136,2021-02-08
아파트,파크타운,서울특별시 광진구 천호대로 671(구의2동 665),1,28,9,02-456-0901,02-456-0902,2021-02-08
아파트,구의동강변우성,서울특별시 광진구 구의강변로 42(구의3동546-7),3,354,17,02-446-5274,02-446-0946,2021-02-08
아파트,구의현대6단지,서울특별시 광진구 구의강변로 94(구의3동610),3,421,16,02-457-3006,02-6462-9798,2021-02-08
아파트,구의현대2단지,서울특별시 광진구 광나루로56길 32(구의3동611),15,1606,20,02-444-6494,02-2201-7930,2021-02-08
아파트,현대프라임,서울특별시 광진구 광나루로56길 29(구의3동631-1),15,1592,30,02-3437-4427,02-6213-4426,2021-02-08
아파트,구의현대7단지,서울특별시 광진구 구의강변로3가길 39(구의3동587-54),3,273,22,02-2201-9771,02-2201-9773,2021-02-08
아파트,강변파크빌,서울특별시 광진구 구의강변로5길 7(구의3동657),1,98,17,02-453-2452,02-446-2452,2021-02-08
아파트,주성힐스톤아파트,서울특별시 광진구 광나루로44길 20(구의3동 664),2,48,7,02-444-7588,02-444-7588,2021-02-08
아파트,세양,서울특별시 광진구 구의강변로 84(구의3동658),2,130,22,02-3437-9190,02-3437-9198,2021-02-08
아파트,세림리오빌,서울특별시 광진구 아차산로 451(구의3동659),1,60,12,02-458-2229,02-458-2226,2021-02-08
아파트,현진에버빌,서울특별시 광진구 광나루로46길 21(구의3동660),1,62,10,02-455-1661,02-455-1661,2021-02-08
아파트,워커힐,서울특별시 광진구 아차산로 637(광장동145-8),14,576,13,02-444-8132,02-457-0136,2021-02-08
아파트,극동1차,서울특별시 광진구 아차산로 552(광장동218-1),5,448,14,02-452-3169,02-3436-8111,2021-02-08
아파트,워커힐푸르지오,서울특별시 광진구 아차산로78길 10(광장동148-4),2,200,11,02-446-9342,02-447-9343,2021-02-08
아파트,삼성1차,서울특별시 광진구 아차산로70길 17-21(광장동561),1,165,15,02-447-2221,02-447-8506,2021-02-08
아파트,삼성2차,서울특별시 광진구 아차산로 544(광장동453-1),2,195,15,,,2021-02-08
아파트,극동2차,서울특별시 광진구 아차산로 552(광장동218-1),11,896,14,02-454-2096,02-454-2097,2021-02-08
아파트,광장현대5단지,서울특별시 광진구 아차산로70길 61(광장동554-7),6,581,15,02-458-2778,02-447-3655,2021-02-08
