교육청명,교육지원청명,유치원코드,유치원명,설립유형,대표자명,원장명,설립일,개원일,주소,전화번호,홈페이지,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,만3세유아수,만4세유아수,만5세유아수,혼합유아수,특수유아수,공시차수
서울특별시교육청,성동광진교육지원청,1ecec08c-eee1-b044-e053-0a32095ab044,선경유치원,사립(법인),성현정,성현정,19680308,19680308,서울특별시 광진구 뚝섬로66길 14,02-447-0852,http://www.sk-kinder.net,09시00분~18시00분,1,3,2,0,,20,57,44,0,,20242
서울특별시교육청,성동광진교육지원청,1ecec08c-eee2-b044-e053-0a32095ab044,성산유치원,사립(법인),대한예수교장로회고신총회유지재단,조은영,19840310,19840310,서울특별시 광진구 뚝섬로59길 18,02-455-0581,https://bit.ly/30Td83t ,07시00분~19시00분,1,1,1,0,,11,14,17,0,,20242
서울특별시교육청,성동광진교육지원청,1ecec08c-eee3-b044-e053-0a32095ab044,자양유치원,사립(사인),이윤예,이연정,19830314,19830314,서울특별시 광진구 자양로5길 36,02-446-4345,http://www.jayangkids.com/,09시00분~20시00분,,,1,1,,,,19,14,,20202
서울특별시교육청,성동광진교육지원청,1ecec08c-eee4-b044-e053-0a32095ab044,프라임유치원,사립(사인),최을재,정유진,19970305,19970305,서울특별시 광진구 광나루로56길 5,02-453-0671,http://www.primekid.co.kr,08시00분~19시00분,3,3,2,0,,60,62,50,0,,20242
서울특별시교육청,성동광진교육지원청,1ecec08c-f0da-b044-e053-0a32095ab044,서울자양초등학교병설유치원,공립(병설),최은실,최은실,19870302,19870302,서울특별시 광진구 아차산로44길 26,02-455-8051,http://www.chayang.es.kr,07시30분~19시30분,1,2,1,0,,11,24,20,0,,20242
서울특별시교육청,성동광진교육지원청,1ecec08c-f1c6-b044-e053-0a32095ab044,광남유치원,사립(사인),목원균,조미선,19910209,19910209,서울특별시 광진구 아차산로70길 40,02-455-6774,http://광남유치원.kr,08시00분~18시30분,2,2,2,0,,42,44,50,0,,20242
서울특별시교육청,성동광진교육지원청,1ecec08c-f331-b044-e053-0a32095ab044,어린이회관유치원,사립(법인),조수연,장은희,19820305,19820305,서울특별시 광진구 광나루로 441,02-2204-6001,https://www.yookyoung.kr/,08시50분~18시40분,4,4,4,0,,87,90,104,0,,20242
서울특별시교육청,성동광진교육지원청,1ecec08c-f332-b044-e053-0a32095ab044,영화유치원,사립(사인),성일원,김영희,19850726,19850726,서울특별시 광진구 영화사로 105,02-453-5149,http://www.younghwau.com/,07시50분~19시30분,1,1,1,0,,14,21,27,0,,20242
서울특별시교육청,성동광진교육지원청,1ecec08c-f504-b044-e053-0a32095ab044,동인유치원,사립(사인),이기영,조영옥,19920227,19920227,서울특별시 광진구 자양로30길 6,02-457-0774,http://www.dongwon.org,09시00분~19시00분,,,,1,,,,,19,,20182
서울특별시교육청,성동광진교육지원청,1ecec08c-f562-b044-e053-0a32095ab044,예일유치원,사립(사인),방영숙,방영숙,20021227,20030301,서울특별시 광진구 천호대로111길 41,02-452-5544,http://www.yeilkid.co.kr,09시00분~20시00분,,,2,1,,,,48,20,,20192
