법정동코드,시군구명,읍면동명,리명,계,남자,여자,0~9세 유아 인구,30~40대 부모 인구,시군명,구명
4111112900,수원시 장안구,파장동,,18545,9341,9204,1016,5181,수원시,장안구
4111113000,수원시 장안구,정자동,,94570,46361,48209,6588,28211,수원시,장안구
4111113100,수원시 장안구,이목동,,6178,3101,3077,386,1782,수원시,장안구
4111113200,수원시 장안구,율전동,,26840,14357,12483,1114,7004,수원시,장안구
4111113300,수원시 장안구,천천동,,29265,14962,14303,1701,7976,수원시,장안구
4111113400,수원시 장안구,영화동,,17987,9192,8795,494,4334,수원시,장안구
4111113500,수원시 장안구,송죽동,,18142,9009,9133,690,4953,수원시,장안구
4111113600,수원시 장안구,조원동,,45285,22255,23030,2058,11466,수원시,장안구
4111113700,수원시 장안구,연무동,,16527,8472,8055,606,4284,수원시,장안구
4111113800,수원시 장안구,상광교동,,210,117,93,6,32,수원시,장안구
4111113900,수원시 장안구,하광교동,,492,259,233,47,62,수원시,장안구
4111312600,수원시 권선구,세류동,,48977,25002,23975,1821,14011,수원시,권선구
4111312700,수원시 권선구,평동,,2336,1269,1067,94,684,수원시,권선구
4111312800,수원시 권선구,고색동,,15538,8057,7481,629,4113,수원시,권선구
4111312900,수원시 권선구,오목천동,,22815,11160,11655,1756,7051,수원시,권선구
4111313000,수원시 권선구,평리동,,63,48,15,2,25,수원시,권선구
4111313100,수원시 권선구,서둔동,,17735,8940,8795,873,5198,수원시,권선구
4111313200,수원시 권선구,구운동,,22686,11531,11155,856,5952,수원시,권선구
4111313300,수원시 권선구,탑동,,19511,10064,9447,755,5365,수원시,권선구
4111313400,수원시 권선구,금곡동,,44608,21883,22725,3107,13774,수원시,권선구
4111313500,수원시 권선구,호매실동,,44039,21764,22275,4555,15722,수원시,권선구
4111313600,수원시 권선구,곡반정동,,23671,13070,10601,1652,9860,수원시,권선구
4111313700,수원시 권선구,권선동,,80683,40233,40450,4830,25801,수원시,권선구
4111313800,수원시 권선구,장지동,,128,65,63,1,31,수원시,권선구
4111313900,수원시 권선구,대황교동,,33,23,10,0,9,수원시,권선구
4111314000,수원시 권선구,입북동,,7256,3703,3553,509,2221,수원시,권선구
4111314100,수원시 권선구,당수동,,12383,6261,6122,1138,4547,수원시,권선구
4111512000,수원시 팔달구,팔달로1가,,362,225,137,3,66,수원시,팔달구
4111512100,수원시 팔달구,팔달로2가,,234,164,70,3,48,수원시,팔달구
4111512200,수원시 팔달구,팔달로3가,,398,250,148,10,89,수원시,팔달구
4111512300,수원시 팔달구,남창동,,911,481,430,23,210,수원시,팔달구
4111512400,수원시 팔달구,영동,,158,85,73,3,22,수원시,팔달구
4111512500,수원시 팔달구,중동,,493,300,193,7,170,수원시,팔달구
4111512600,수원시 팔달구,구천동,,1198,606,592,11,370,수원시,팔달구
