시군명,사업장명,소재지우편번호,소재지도로명주소,소재지지번주소,인허가일자,영업상태명,폐업일자,다중이용업소여부,총시설규모(㎡),위생업종명,위생업태명,WGS84위도,WGS84경도,구명,읍면동명,리계,나머지주소,도명
고양시,퍼플주니어키즈카페 향동점,412-180,"경기도 고양시 덕양구 꽃마을로 64, DMC스타허브플러스 5층 506(일부),507호 (향동동)",경기도 고양시 덕양구 향동동 523 DMC스타허브플러스 ,2023-06-16,영업,,N,79.76,,키즈카페,37.6005441979,126.8934193107,덕양구,향동동,,523 DMC스타허브플러스,경기도
고양시,아이킹,412-743,"경기도 고양시 덕양구 화신로272번길 58, 영프라자빌딩 603(일부),604(일부)호 (화정동)","경기도 고양시 덕양구 화정동 972 영프라자빌딩 603,4호",2024-02-23,영업,,N,68.42,,키즈카페,37.6336616181,126.8321077585,덕양구,화정동,,"972 영프라자빌딩 603,4호",경기도
고양시,허니버디,412-040,"경기도 고양시 덕양구 원흥3로 16, KB중앙타워 306호 (원흥동)",경기도 고양시 덕양구 원흥동 631 KB중앙타워 ,2024-01-12,영업,,Y,114.78,,키즈카페,37.6492364441,126.8748406827,덕양구,원흥동,,631 KB중앙타워,경기도
고양시,쁘띠몽드 DMC향동점,412-180,"경기도 고양시 덕양구 향기로 119, Urban place 9층 901(일부)호 (향동동)",경기도 고양시 덕양구 향동동 525 Urban place ,2023-03-24,영업,,Y,250.0,,키즈카페,37.6003849317,126.8939983576,덕양구,향동동,,525 Urban place,경기도
고양시,와글아이일산차움라이프센터,410837,"경기도 고양시 일산동구 중앙로 1205, 차움 라이프센터 B101(일부)호 (장항동)",경기도 고양시 일산동구 장항동 889,20200922,영업,,Y,193.0,,키즈카페,37.6541226556,126.7757402631,일산동구,장항동,,889,경기도
고양시,Andante 안단테,410330,"경기도 고양시 일산동구 애니골길 97, 고양국제청소년문화센터 글로벌센터동 3층 일부호 (풍동)",경기도 고양시 일산동구 풍동 1399 고양국제청소년문화센터 글로벌센터 3층 일부,20101011,영업,,N,66.98,,키즈카페,37.6767495829,126.7926891892,일산동구,풍동,,1399 고양국제청소년문화센터 글로벌센터 3층 일부,경기도
고양시,잭슨나인스피자,411320,"경기도 고양시 일산서구 일현로 97-11, B106(일부)호 (탄현동, 일산 위브더제니스)","경기도 고양시 일산서구 탄현동 1640 일산 위브더제니스, B106호일부",20181022,영업,,Y,586.0,,키즈카페,37.6934754388,126.7628240942,일산서구,탄현동,,"1640 일산 위브더제니스, B106호일부",경기도
고양시,어울놀이,412070,"경기도 고양시 덕양구 권율대로 893, 6층 606,607호 (신원동, 파스텔시티)","경기도 고양시 덕양구 신원동 620-1번지 파스텔시티 6층 606호,607호",20170331,영업,,Y,347.0,,키즈카페,37.6636733008,126.8898673416,덕양구,신원동,,"620-1번지 파스텔시티 6층 606호,607호",경기도
고양시,키키카페,412070,"경기도 고양시 덕양구 신원로 40-38, 서원프라자 3층 301호 (신원동)",경기도 고양시 덕양구 신원동 624 서원프라자 3층 301호,20170410,폐업,20220203,N,90.4,,키즈카페,37.6642958362,126.8899869662,덕양구,신원동,,624 서원프라자 3층 301호,경기도
고양시,잉킁잉큼,412070,"경기도 고양시 덕양구 통일로493번길 122-27, 1층 (신원동)",경기도 고양시 덕양구 신원동 297-1 1층,20150710,폐업,20201229,N,189.31,,키즈카페,37.6784700726,126.8789274714,덕양구,신원동,,297-1 1층,경기도
고양시,엔젤키즈카페,410831,"경기도 고양시 일산동구 중산로 228, 2층 1호 (중산동, 그린코아빌딩)",경기도 고양시 일산동구 중산동 1571-3번지 그린코아 2층1호,20160226,폐업,20181211,Y,111.97,,키즈카페,37.6923409761,126.7805294885,일산동구,중산동,,1571-3번지 그린코아 2층1호,경기도
고양시,미니특공대 테마파크,411732,"경기도 고양시 일산서구 중앙로 1436, 그랜드백화점일산점 지하 3층 일부호 (주엽동)",경기도 고양시 일산서구 주엽동 22 그랜드백화점일산점 지하3층 일부,20180126,폐업,20201209,N,61.0,,키즈카페,37.6708230588,126.7610298735,일산서구,주엽동,,22 그랜드백화점일산점 지하3층 일부,경기도
고양시,아가야,412827,"경기도 고양시 덕양구 화중로 54 (화정동, 서일빌딩 2층일부)",경기도 고양시 덕양구 화정동 984번지 서일빌딩 2층일부,20120824,폐업,20171109,N,20.0,,키즈카페,37.6319773293,126.8307288414,덕양구,화정동,,984번지 서일빌딩 2층일부,경기도
고양시,키키카페,412070,"경기도 고양시 덕양구 신원로 40-38, 서원프라자 3층 302(일부)호 (신원동)",경기도 고양시 덕양구 신원동 624 서원프라자 3층 302(일부)호,20170410,폐업,20220203,N,40.0,,키즈카페,37.6642958362,126.8899869662,덕양구,신원동,,624 서원프라자 3층 302(일부)호,경기도
고양시,쁘띠몽드일산점,411838,"경기도 고양시 일산서구 주엽로 150, 5층 504 일부호 (주엽동, 자유프라자)",경기도 고양시 일산서구 주엽동 18 자유프라자 504일부호,20171019,폐업,20221007,N,41.25,,키즈카페,37.6719368348,126.7589777549,일산서구,주엽동,,18 자유프라자 504일부호,경기도
