시설명,시군구명,법정동명,시설도로명주소,지번주소,시설위도,시설경도
금모래어린이공원,광진구,자양동,서울특별시 광진구 뚝섬로56길 28 (자양동),서울특별시 광진구 자양동 651-50 자양제2동제1경로당,37.5303094,127.0825396
군자어린이공원,광진구,군자동,서울특별시 광진구 동일로52길 27 (군자동),서울특별시 광진구 군자동 115-1 군자동노인정,37.5544265,127.072805
중곡3동1마을마당,광진구,중곡동,서울특별시 광진구 답십리로88길 21 (중곡동),서울특별시 광진구 중곡동 194-18,37.5700022,127.0850867
평강어린이공원,광진구,광장동,서울특별시 광진구 광장로1가길 31 (광장동),서울특별시 광진구 광장동 387-1,37.5481177,127.1005754
해오름어린이공원,광진구,중곡동,서울특별시 광진구 영화사로7길 25 (중곡동),서울특별시 광진구 중곡동 100-16 해오름공원 공중화장실,37.5567847,127.0921863
언덕배기어린이공원,광진구,자양동,서울특별시 광진구 뚝섬로62길 24 (자양동),서울특별시 광진구 자양동 686-52 언덕배기공원 공중화장실,37.5321498,127.0879487
중곡어린이공원,광진구,중곡동,서울특별시 광진구 긴고랑로5길 10 (중곡동),서울특별시 광진구 중곡동 232-44 중곡1동제1경로당,37.5645499,127.0791655
가중나무어린이공원,광진구,화양동,서울특별시 광진구 동일로28길 16 (화양동),서울특별시 광진구 화양동 32-1 가중나무공원 공중화장실,37.5465187,127.0677034
목련어린이공원,광진구,구의동,서울특별시 광진구 아차산로59길 49 (구의동),서울특별시 광진구 구의동 223-4 목련공원 공중화장실,37.54064,127.0906545
구둘어린이공원,광진구,구의동,서울특별시 광진구 자양로42길 44 (구의동),서울특별시 광진구 구의동 60-8 구돌어린이공원,37.5481518,127.092076
장독골어린이공원,광진구,자양동,서울특별시 광진구 아차산로40길 46 (자양동),서울특별시 광진구 자양동 804-10,37.5357424,127.0778678
자마장어린이공원,광진구,자양동,서울특별시 광진구 자양로13길 41 (자양동),서울특별시 광진구 자양동 630 자마장공원 공중화장실,37.5344516,127.0821946
구의아리수정수센터 놀이터,광진구,광장동,"서울특별시 광진구 워커힐로 13 (광장동, 광장동서울아파트)",서울특별시 광진구 광장동 520 광장동서울아파트,37.5436858,127.096023
노유산어린이공원,광진구,자양동,서울특별시 광진구 아차산로32길 17 (자양동),서울특별시 광진구 자양동 5-7 자양4동 어린이집,37.539129,127.0685135
한아름어린이공원,광진구,화양동,서울특별시 광진구 군자로3길 15 (화양동),서울특별시 광진구 화양동 12-55 한아름공원,37.5443969,127.0703944
개나리어린이공원,광진구,구의동,서울특별시 광진구 광나루로36길 56 (구의동),서울특별시 광진구 구의동 237-6 구의1동주민센터,37.5424889,127.0856833
무궁화어린이공원,광진구,구의동,서울특별시 광진구 광나루로52길 12 (구의동),서울특별시 광진구 구의동 206-10,37.5412057,127.0945479
성화어린이공원,광진구,자양동,서울특별시 광진구 자양로13길 37 (자양동),서울특별시 광진구 자양동 630-1 자양제1동주민센터,37.5345074,127.0824203
한마음어린이공원,광진구,중곡동,서울특별시 광진구 긴고랑로12길 49 (중곡동),서울특별시 광진구 중곡동 259-10 중곡제1동주민센터,37.5606643,127.0800509
동자어린이공원,광진구,자양동,서울특별시 광진구 자양번영로3길 16 (자양동),서울특별시 광진구 자양동 582-19,37.5318848,127.0742721
온달어린이공원,광진구,광장동,서울특별시 광진구 아차산로73길 15 (광장동),서울특별시 광진구 광장동 242-1,37.5458641,127.1039974
약초원어린이공원,광진구,자양동,서울특별시 광진구 자양로13길 37 (자양동),서울특별시 광진구 자양동 630-1 자양제1동주민센터,37.5345074,127.0824203
장미어린이공원,광진구,구의동,서울특별시 광진구 구의강변로3길 39 (구의동),서울특별시 광진구 구의동 590-2 구의새마을경로당,37.5362971,127.0901378
정말어린이공원,광진구,자양동,서울특별시 광진구 자양로13다길 34 (자양동),서울특별시 광진구 자양동 619-20 정말공원 공중화장실,37.5331678,127.0781711
화양어린이공원,광진구,화양동,서울특별시 광진구 아차산로31길 14 (화양동),서울특별시 광진구 화양동 8-36 화양공원 공중화장실,37.5416065,127.0696029
긴고랑어린이공원,광진구,중곡동,서울특별시 광진구 긴고랑로12길 49 (중곡동),서울특별시 광진구 중곡동 259-10 중곡제1동주민센터,37.5606643,127.0800509
햇님어린이공원,광진구,화양동,서울특별시 광진구 아차산로25길 27 (화양동),서울특별시 광진구 화양동 45-3 햇님공원 공중화장실,37.5426583,127.0670211
